Keyword,Description,Units,Data Type,Example,Populated By
FILENAME,Name of the FITS file,,String,kpf_L1_20240405T110833.fits,KPF*.to_fits
DATALVL,Data product base level,,String,L0,KPF0.standardize_headers
ORIGIN,Entity that created this file,,String,Keck,KPF0.standardize_headers
DATE,Last modification date/time of this file,UTC,String,2024-04-05T11:08:33,KPF0.standardize_headers
ORIGID,Original L0 observation ID,,String,KP.20240405.40113.57,KPF0.standardize_headers
KOAID,KOA archive ID (WMKO req.),,String,KP.20240405.40113.57.fits,KPF0.standardize_headers
PINAME,Program PI name,,String,Howard,KPF0.standardize_headers
PROGRAM,Observing program name,,String,K123,KPF0.standardize_headers
PROGID,WMKO program ID (WMKO req.; EPRV equivalent is PROGRAM),,String,K123,KPF0.standardize_headers
ORGANIZA,Data owner organization for licensing,,String,WMKO,KPF0.standardize_headers
OBSERVER,Observer,,String,Isaacson,KPF0.standardize_headers
OBSERVAT,Observatory name,,String,Keck Observatory,KPF0.standardize_headers
TELESCOP,Telescope name,,String,Keck I,KPF0.standardize_headers
INSTRUME,Instrument name,,String,KPF,KPF0.standardize_headers
INSTERA,Tag tracking permanent instrument changes,,String,KPF-2,KPF0.standardize_headers
OBJECT,Primary object name,,String,219134,KPF0.standardize_headers
ALIASES,User-defined object names; ';' separated,,String,HD 219134; Gaia DR3 2870618101503062016,AstroQuery
DATE-OBS,Date/time at start of exposure,UTC,String,2024-04-05T11:08:33,KPF0.standardize_headers
JD_UTC,Julian date of DATE-OBS,day,Double,2460405.96426,KPF0.standardize_headers
OBSTYPE,Observation type,,String,Object,KPF0.standardize_headers
OBSMODE,Observing mode,,String,sci,KPF0.standardize_headers
ISSOLAR,True if the observation is of the Sun,,Boolean,F,KPF0.standardize_headers
EXPTIME,Exposure time,s,Float,75.022,KPF0.standardize_headers
BINNING,Binning mode,,String,1x1,KPF0.standardize_headers
READMODE,Readout mode,,String,normal,ImageAssembly
NUMORDER,Number of orders,,Uint,67,KPF0.standardize_headers
NUMTRACE,Number of object-indexed keyword families,,UInt,5,KPF0.standardize_headers
TRACE#,Type of object in trace #,,String,SCI,KPF0.standardize_headers
BIASFILE,Master bias full path,,String,masters/20240405/kpf_20240405_master_bias.fits,CalibrationAssociation
DARKFILE,Master dark full path,,String,masters/20240405/kpf_20240405_master_dark.fits,CalibrationAssociation
FLATFILE,Master flat full path,,String,masters/20240405/kpf_20240405_master_flat.fits,
WLSFILE,WLS master full path,,String,masters/20240405/kpf_20240405_master_WLS.fits,CalibrationAssociation
EXTRACT,Type of 1D extraction,,String,optimal,SpectralExtraction
EXSNR#,Extracted SNR at EXSNRW#,SNR/1-D pixel,FLOAT,245.35,DiagL2
EXSNRW#,Wavelength for EXSNR#,Angstroms,FLOAT,5480,DiagL2
RVMETHOD,RV derivation method (CCF; SERVAL; etc),,string,CCF,RadialVelocity
RV,RV value recommended by team,km/s,float,-18.553,RadialVelocity
RVERR,Error on RV,km/s,float,0.0012,RadialVelocity
RVGREEN,GREEN SCI-combined RV,km/s,float,-18.551,RadialVelocity
RVRED,RED SCI-combined RV,km/s,float,-18.554,RadialVelocity
ERVGREEN,GREEN SCI-combined RV error,km/s,float,0.0015,RadialVelocity
ERVRED,RED SCI-combined RV error,km/s,float,0.0014,RadialVelocity
BJDTDB,Barycentric Julian Day in TDB,JD,double,2460405.96456,RadialVelocity
BERV,Barycentric RV,km/s,float,12.4431,RadialVelocity
SYSVEL,Systemic velocity subtracted from RVs,km/s,float,-18.55,
SYSACC,Acceleration of the systemic velocity,m/s/s,float,0.0,
CLSRC#,Calibration source in trace # if used,,String,EtalonFiber,
CSRC#,Catalog source for object in trace #,,String,Gaia DR3,AstroQuery
CID#,Catalog designation for object in trace #,,String,DR3 2870618101503062016,AstroQuery
CRA#,Catalog RA for object in trace #,sexagesimal,String,23:13:16.98,AstroQuery
CDEC#,Catalog Dec for object in trace #,sexagesimal,String,+57:10:06.1,AstroQuery
CEQNX#,Catalog equinox for object in trace #,yr,Float,2000.0,AstroQuery
CEPCH#,Catalog epoch for object in trace #,yr,Float,2016.0,AstroQuery
CPLX#,Catalog parallax for object in trace #,mas,Float,152.76,AstroQuery
CPMR#,Catalog PM in RA for trace #,arcsec/yr,Float,2.0743,AstroQuery
CPMD#,Catalog PM in Dec for trace #,arcsec/yr,Float,0.2949,AstroQuery
CRV#,Catalog systemic RV for trace #,km/s,Float,-18.55,AstroQuery
CZ#,Catalog redshift Z for trace #,,Float,-0.0000619,AstroQuery
CCLR#,Catalog color 1 - color 2 for trace #,mag,Float,1.9376,AstroQuery
CCLRN#,Catalog color 1 - color 2 name for trace #,,String,Gaia BP-RP,AstroQuery
NUMTEL,Number of telescopes used,,UInt,1,KPF0.standardize_headers
TELEID1,Telescope label as indexed in TCS keywords,,String,K1,KPF0.standardize_headers
TTIME,TCS-data date/time,UTC,String,2024-04-05T11:09:11,KPF0.standardize_headers
TEQNX,TCS equinox,yr,String,2000.0,KPF0.standardize_headers
TEPCH,TCS epoch,yr,String,2016.0,KPF0.standardize_headers
TLST1,TCS LST for telescope 1,sexagesimal,String,06:37:52.9,KPF0.standardize_headers
TRA1,TCS RA for telescope 1,sexagesimal,String,23:13:16.98,KPF0.standardize_headers
TDEC1,TCS Dec for telescope 1,sexagesimal,String,+57:10:06.1,KPF0.standardize_headers
TEL1,TCS elevation angle for telescope 1,deg,Float,59.4,KPF0.standardize_headers
TZA1,TCS zenith angle for telescope 1,deg,Float,30.6,KPF0.standardize_headers
TAZ1,TCS azimuth angle for telescope 1,deg,Float,41.9,KPF0.standardize_headers
THA1,TCS hour angle for telescope 1,sexagesimal,String,-16:35:24.1,KPF0.standardize_headers
PARST1,Parallactic angle at start; telescope 1,deg,Float,175.2,KPF0.standardize_headers
PAREND1,Parallactic angle at end; telescope 1,deg,Float,180.7,KPF0.standardize_headers
OBSLON,Longitude for barycentric correction,deg,Float,-155.47833333,KPF0.standardize_headers
