EPRV_KEY,KPF_KEY,KPF_EXT,DEFAULT,REQUIRED
INSTRUME,INSTRUME,PRIMARY,,True
ORGANIZA,,,,False
ORIGIN,,,Keck,False
DATALVL,,,,True
OBSERVER,,,,True
PROGRAM,,,,False
PINAME,,,,False
ISSOLAR,,,,True
OBSTYPE,IMTYPE,PRIMARY,,True
OBSMODE,,,,False
OBSERVAT,OBSERVAT,PRIMARY,,True
TELESCOP,TELESCOP,PRIMARY,,True
OBSLON,,,,True
OBSLAT,,,,True
OBSALT,,,,True
GEOSYS,,,,True
OBSGEO-X,,,,False
OBSGEO-Y,,,,False
OBSGEO-Z,,,,False
READMODE,,,,False
BINNING,,,1x1,True
NUMTRACE,,,5,True
NUMORDER,,,67,True
NUMTEL,,,1,True
TELEID1,,,K1,True
OBJECT,OBJECT,PRIMARY,,True
ALIASES,,,,False
FILENAME,,,,True
DATE,DATE,PRIMARY,,True
DATE-OBS,DATE-OBS,PRIMARY,,True
JD_UTC,MJD-OBS,PRIMARY,,True
EXPTIME,ELAPSED,PRIMARY,,True
TRACE1,SKY-OBJ,PRIMARY,,True
TRACE2,SCI-OBJ,PRIMARY,,False
TRACE3,SCI-OBJ,PRIMARY,,False
TRACE4,SCI-OBJ,PRIMARY,,False
TRACE5,CAL-OBJ,PRIMARY,,False
CLSRC1,,,,True
CLSRC2,,,,False
CLSRC3,,,,False
CLSRC4,,,,False
CLSRC5,,,,False
CSRC1,,,,True
CSRC2,,,,False
CSRC3,,,,False
CSRC4,,,,False
CSRC5,,,,False
CID1,,,,True
CID2,,,,False
CID3,,,,False
CID4,,,,False
CID5,,,,False
CRA1,,,,True
CRA2,,,,False
CRA3,,,,False
CRA4,,,,False
CRA5,,,,False
CDEC1,,,,True
CDEC2,,,,False
CDEC3,,,,False
CDEC4,,,,False
CDEC5,,,,False
CEQNX1,,,,True
CEQNX2,,,,False
CEQNX3,,,,False
CEQNX4,,,,False
CEQNX5,,,,False
CEPCH1,,,,True
CEPCH2,,,,False
CEPCH3,,,,False
CEPCH4,,,,False
CEPCH5,,,,False
CPLX1,,,,False
CPLX2,,,,False
CPLX3,,,,False
CPLX4,,,,False
CPLX5,,,,False
CPMR1,,,,False
CPMR2,,,,False
CPMR3,,,,False
CPMR4,,,,False
CPMR5,,,,False
CPMD1,,,,False
CPMD2,,,,False
CPMD3,,,,False
CPMD4,,,,False
CPMD5,,,,False
CRV1,,,0,True
CRV2,,,,False
CRV3,,,,False
CRV4,,,,False
CRV5,,,0,False
CZ1,,,0,False
CZ2,,,,False
CZ3,,,,False
CZ4,,,,False
CZ5,,,0,False
CCLR1,,,,False
CCLR2,,,,False
CCLR3,,,,False
CCLR4,,,,False
CCLR5,,,,False
CCLRN1,,,,False
CCLRN2,,,,False
CCLRN3,,,,False
CCLRN4,,,,False
CCLRN5,,,,False
SEEING,GDRSEEV,QUALITY_CONTROL,,False
AIRMASS,,,,False
TTIME,DATE-MID,PRIMARY,,False
TEQNX,EQUINOX,PRIMARY,,False
TEPCH,TARGEPOC,PRIMARY,,False
TLST1,LST,PRIMARY,,False
TRA1,RA,PRIMARY,,False
TDEC1,DEC,PRIMARY,,False
TEL1,EL,PRIMARY,,False
TZA1,,,,False
TAZ1,AZ,PRIMARY,,False
THA1,HA,PRIMARY,,False
PARST1,,,,False
PAREND1,,,,False
ROTANG,,,,False
SUNEL,,,,False
MOONANG,,,,False
MOONEL,,,,False
MOONILLU,,,,False
MOONRV,,,,False
M1TMP,,,,False
M1TMPT,,,,False
INHUM,,,,False
INHUMT,,,,False
OUTTMP,,,,False
OUTTMPT,,,,False
OUTHUM,,,,False
OUTHUMT,,,,False
OUTPRES,,,,False
OUTPREST,,,,False
ENVWINDS,,,,False
ENVWINDD,,,,False
DRPTAG,,,,True
EPRVTAG,,,,True
VOCLASS,,,,True
DRPHASH,,,,False
INSTERA,,,,True
EXTRACT,,,,False
EXSNR1,,,,False
EXSNR2,,,,False
EXSNR3,,,,False
EXSNR4,,,,False
EXSNR5,,,,False
EXSNRW1,,,4520,False
EXSNRW2,,,5480,False
EXSNRW3,,,6520,False
EXSNRW4,,,7470,False
EXSNRW5,,,8520,False
FULLCOMP,,,,True
TELFLAG,,,,False
INSTFLAG,,,,False
DRPFLAG,,,,False
ADDFLAG,,,,False
OBSFLAG,,,,False
SUMMFLAG,,,,True
DQLVL0,,,,True
DQLVL1,,,,True
DQLVL2,,,,True
DQLVL4,,,,False
BJDTDB,,,,True
RV,,,,True
RVERR,,,,True
BERV,,,,True
RVMETHOD,,,,True
SYSVEL,,,,True
SYSACC,,,,False
