Keyword,Description,Extension,DataType,PopulatedBy
# ================================================
# PRIMARY required keywords
# ================================================
INSTRUME,Instrument name,PRIMARY,string,KPF0.to_kpf1
DATALVL,Data Product Base Level,PRIMARY,string,KPF*.__init__
OBSERVER,Observer,PRIMARY,string,KPF0.to_kpf1
OBSTYPE,Observation type,PRIMARY,string,KPF0.to_kpf1
BINNING,Binning Mode,PRIMARY,string,KPF0.to_kpf1
NUMTRACE,Iterator for Number of Object related keywords,PRIMARY,uint,KPF0.to_kpf1
NUMORDER,Number of Orders,PRIMARY,uint,KPF1.__init__
OBJECT,Primary Object Name,PRIMARY,string,KPF0.to_kpf1
FILENAME,Name of the FITS file,PRIMARY,string,KPF*.to_fits
DATE,Last modification date/time of this file [UTC],PRIMARY,string,KPF0.to_kpf1
DATE-OBS,Date/time at start of exposure [UTC],PRIMARY,string,KPF0.to_kpf1
JD_UTC,Julian date of DATE-OBS [day],PRIMARY,double,KPF0.to_kpf1
EXPTIME,Exposure time [s],PRIMARY,float,KPF0.to_kpf1
TRACE#,Type of object in trace 1 to #,PRIMARY,string,KPF0.to_kpf1
CLSRC#,Name of calibration source in trace 1 to # [if used],PRIMARY,string,KPF0.to_kpf1
CSRC#,Catalog source for object in trace 1 to #,PRIMARY,string,KPF0.to_kpf1
CID#,Catalog name/designation for object in trace 1 to #,PRIMARY,string,KPF0.to_kpf1
CRA#,Catalog right ascension for object in trace 1 to # [sexagesimal],PRIMARY,string,KPF0.to_kpf1
CDEC#,Catalog declination for object in trace 1 to # [sexagesimal],PRIMARY,string,KPF0.to_kpf1
CEQNX#,Catalog equinox for object in trace 1 to # [yr],PRIMARY,float,KPF0.to_kpf1
CEPCH#,Catalog epoch for object in trace 1 to # [yr],PRIMARY,float,KPF0.to_kpf1
CRV#,Catalog Systemic RV for for object in trace 1 to # [km/s],PRIMARY,float,KPF0.to_kpf1
OBSERVAT,Observatory name,PRIMARY,string,KPF0.to_kpf1
TELESCOP,Telescope name,PRIMARY,string,KPF0.to_kpf1
NUMTEL,Number of telescopes used in the observation,PRIMARY,uint,KPF0.to_kpf1
TELEID#,Labels for telescopes as indexed in TCS keywords,PRIMARY,string,KPF0.to_kpf1
GEOSYS,Coordinate system for observatory / telesccope location,PRIMARY,string,KPF0.to_kpf1
OBSLON,Longitude used for barycentric correction [deg],PRIMARY,float,KPF0.to_kpf1
OBSLAT,Latitude used for barycentric correction [deg],PRIMARY,float,KPF0.to_kpf1
OBSALT,Altitude used for barycentric correction [meters],PRIMARY,float,KPF0.to_kpf1
ISSOLAR,Boolean to indicate if observation is of the sun,PRIMARY,boolean,KPF0.to_kpf1
DRPTAG,RV DRP version,PRIMARY,string,KPF1.__init__
EPRVTAG,Version of EPRV standard applied,PRIMARY,string,KPF1.__init__
VOCLASS,Version of EPRV standard applied,PRIMARY,string,KPF1.__init__
