Keyword,Description,Extension,DataType,Populated by
RNGREEN1,Read noise GREEN amp 1 [e-],PRIMARY,float,ImageAssembly
RNGREEN2,Read noise GREEN amp 2 [e-],PRIMARY,float,ImageAssembly
RNGREEN3,Read noise GREEN amp 3 [e-],PRIMARY,float,ImageAssembly
RNGREEN4,Read noise GREEN amp 4 [e-],PRIMARY,float,ImageAssembly
RNRED1,Read noise RED amp 1 [e-],PRIMARY,float,ImageAssembly
RNRED2,Read noise RED amp 2 [e-],PRIMARY,float,ImageAssembly
RNRED3,Read noise RED amp 3 [e-],PRIMARY,float,ImageAssembly
RNRED4,Read noise RED amp 4 [e-],PRIMARY,float,ImageAssembly
RNNGGR1,Non-Gaussian read noise GREEN amp 1,PRIMARY,float,ImageAssembly
RNNGGR2,Non-Gaussian read noise GREEN amp 2,PRIMARY,float,ImageAssembly
RNNGGR3,Non-Gaussian read noise GREEN amp 3,PRIMARY,float,ImageAssembly
RNNGGR4,Non-Gaussian read noise GREEN amp 4,PRIMARY,float,ImageAssembly
RNNGRD1,Non-Gaussian read noise RED amp 1,PRIMARY,float,ImageAssembly
RNNGRD2,Non-Gaussian read noise RED amp 2,PRIMARY,float,ImageAssembly
RNNGRD3,Non-Gaussian read noise RED amp 3,PRIMARY,float,ImageAssembly
RNNGRD4,Non-Gaussian read noise RED amp 4,PRIMARY,float,ImageAssembly
OSCANSUB,Overscan subtraction applied (T/F),PRIMARY,int,ImageAssembly
BIASSUB,Bias subtraction applied (T/F),PRIMARY,int,ImageProcessing
DARKSUB,Dark subtraction applied (T/F),PRIMARY,int,ImageProcessing
FLATDIV,Flat division applied (reserved) (T/F),PRIMARY,int,ImageProcessing
BIASFILE,Master bias full path,PRIMARY,str,CalibrationAssociation
BIASAGE,Master bias age [days],PRIMARY,float,CalibrationAssociation
DARKFILE,Master dark full path,PRIMARY,str,CalibrationAssociation
DARKAGE,Master dark age [days],PRIMARY,float,CalibrationAssociation
FLATFILE,Master flat full path,PRIMARY,str,CalibrationAssociation
FLATAGE,Master flat age [days],PRIMARY,float,CalibrationAssociation
WLSFILE,WLS master full path,PRIMARY,str,CalibrationAssociation
WLSAGE,WLS master age [days],PRIMARY,float,CalibrationAssociation
DRPVERNO,Pipeline version (WMKO DRP-RUN-11; EPRV equivalent is DRPTAG),PRIMARY,str,KPF0.to_kpf1
PROGID,WMKO program ID (DRP-RUN-19),PRIMARY,str,KPF0.to_kpf1
KOAID,KOA archive ID (DRP-RUN-19),PRIMARY,str,KPF0.to_kpf1
DRPSTATU,DRP reduction status (DRP-RUN-20),PRIMARY,str,KPF0.to_kpf1
MASTYPE,Master calibration type (masters products only),PRIMARY,str,KPFMaster
RNINRNG,QC: per-amp RN within range,PRIMARY,int,QCL1
RNGAUSS,QC: non-Gaussian RN within range,PRIMARY,int,QCL1
BIASAGEQ,QC: bias master age ok,PRIMARY,int,QCL1
DARKAGEQ,QC: dark master age ok,PRIMARY,int,QCL1
FLATAGEQ,QC: flat master age ok,PRIMARY,int,QCL1
FFIFIN,QC: assembled CCDs all finite,PRIMARY,int,QCL1
