HDU,Name,DataType,MinBitDepth,Required,Description
0,PRIMARY,PrimaryHDU,,True,Calibration metadata header
1,GREEN_IMG,ImageHDU,32,True,Stacked green CCD mean image (count rate)
2,GREEN_SNR,ImageHDU,32,True,Green CCD signal-to-noise ratio
3,GREEN_MASK,ImageHDU,8,True,Green CCD bad pixel mask (1=good 0=bad)
4,RED_IMG,ImageHDU,32,True,Stacked red CCD mean image (count rate)
5,RED_SNR,ImageHDU,32,True,Red CCD signal-to-noise ratio
6,RED_MASK,ImageHDU,8,True,Red CCD bad pixel mask (1=good 0=bad)
7,INPUT_FILES,BinTableHDU,,True,Input L0 files used to generate this master stack
8,RECEIPT,BinTableHDU,,True,Accumulated processing history
9,QUALITY_CONTROL,BinTableHDU,,True,Quality control flags and diagnostics
10,DRP_CONFIG,BinTableHDU,,False,Pipeline config as a 2-column table (key = value)
