HDU,Name,DataType,Required,Description
0,PRIMARY,PrimaryHDU,True,Calibration metadata header
1,RECEIPT,BinTableHDU,True,Accumulated processing history
2,DRP_CONFIG,BinTableHDU,True,Pipeline config as a 2-column table (key = value)
3,EXT_DESCRIPT,BinTableHDU,True,Table describing contents of each extension
4,ORDER_TABLE,BinTableHDU,True,Table capturing the wavelength extent of each order in Trace 1
5,TRACE1_FLUX,ImageHDU,True,Flux in trace 1
6,TRACE1_VAR,ImageHDU,True,Variance for trace 1
7,TRACE1_BLAZE,ImageHDU,True,Blaze for trace 1
8,TRACE2_FLUX,ImageHDU,True,Flux in trace 2
9,TRACE2_VAR,ImageHDU,True,Variance for trace 2
10,TRACE2_BLAZE,ImageHDU,True,Blaze for trace 2
11,TRACE3_FLUX,ImageHDU,True,Flux in trace 3
12,TRACE3_VAR,ImageHDU,True,Variance for trace 3
13,TRACE3_BLAZE,ImageHDU,True,Blaze for trace 3
14,TRACE4_FLUX,ImageHDU,True,Flux in trace 4
15,TRACE4_VAR,ImageHDU,True,Variance for trace 4
16,TRACE4_BLAZE,ImageHDU,True,Blaze for trace 4
17,TRACE5_FLUX,ImageHDU,True,Flux in trace 5
18,TRACE5_VAR,ImageHDU,True,Variance for trace 5
19,TRACE5_BLAZE,ImageHDU,True,Blaze for trace 5
20,QUALITY_CONTROL,BinTableHDU,True,Quality control flags and diagnostics
21,INPUT_FILES,BinTableHDU,True,Input L0 files used to generate this master
