HDU,Name,DataType,Required,Description
0,PRIMARY,PrimaryHDU,True,Calibration metadata header
1,RECEIPT,BinTableHDU,True,Accumulated processing history
2,DRP_CONFIG,BinTableHDU,True,Pipeline details (settings etc) to go from native data to L2
3,EXT_DESCRIPT,BinTableHDU,True,Table describing contents of each extension
4,ORDER_TABLE,BinTableHDU,True,Table capturing the wavelength extent of each order in Trace 1
5,TRACE1_FLUX,ImageHDU,True,Flux in trace 1
6,TRACE1_WAVE,ImageHDU,True,Wavelength solution for trace 1
7,TRACE1_VAR,ImageHDU,True,Variance for trace 1
8,TRACE1_BLAZE,ImageHDU,True,Blaze for trace 1
9,TRACE2_FLUX,ImageHDU,True,Flux in trace 2
10,TRACE2_WAVE,ImageHDU,True,Wavelength solution for trace 2
11,TRACE2_VAR,ImageHDU,True,Variance for trace 2
12,TRACE2_BLAZE,ImageHDU,True,Blaze for trace 2
13,TRACE3_FLUX,ImageHDU,True,Flux in trace 3
14,TRACE3_WAVE,ImageHDU,True,Wavelength solution for trace 3
15,TRACE3_VAR,ImageHDU,True,Variance for trace 3
16,TRACE3_BLAZE,ImageHDU,True,Blaze for trace 3
17,TRACE4_FLUX,ImageHDU,True,Flux in trace 4
18,TRACE4_WAVE,ImageHDU,True,Wavelength solution for trace 4
19,TRACE4_VAR,ImageHDU,True,Variance for trace 4
20,TRACE4_BLAZE,ImageHDU,True,Blaze for trace 4
21,TRACE5_FLUX,ImageHDU,True,Flux in trace 5
22,TRACE5_WAVE,ImageHDU,True,Wavelength solution for trace 5
23,TRACE5_VAR,ImageHDU,True,Variance for trace 5
24,TRACE5_BLAZE,ImageHDU,True,Blaze for trace 5
25,QUALITY_CONTROL,BinTableHDU,True,Quality control flags and diagnostics
26,INPUT_FILES,BinTableHDU,True,Input L0 files used to generate this master
27,GREEN_WLS_COEFFS,ImageHDU,False,Green chip WLS Legendre coefficients
28,RED_WLS_COEFFS,ImageHDU,False,Red chip WLS Legendre coefficients
