# REFERENCE ONLY -- not read by the pipeline. The 40 EPRV-Required PRIMARY
# keywords, i.e. the skeleton KPF1.__init__ seeds and the set KWRDPRL1 checks
# for presence. EPRV defines no L1, so KPF holds the L1 PRIMARY to the EPRV L2
# PRIMARY spec and tags these Required from L1 (Level 1) in the registry.
# Regenerate from keyword_registry.required["PRIMARY"] (Level<=1); the 6
# Level-4 Required PRIMARY keywords are excluded.
Keyword,DataType,Description
BINNING,String,Binning Mode
CDEC1,String,Catalog declination for object in trace 1 to #
CEPCH1,Float,Catalog epoch for object in trace 1 to #
CEQNX1,Float,Catalog equinox for object in trace 1 to #
CID1,String,Catalog name/designation for object in trace 1 to #
CLSRC1,String,Name of calibration source in trace 1 to # [if used]
CRA1,String,Catalog right ascension for object in trace 1 to #
CRV1,Float,Catalog Systemic RV for for object in trace 1 to #
CSRC1,String,Catalog source for object in trace 1 to #
DATALVL,String,Data Product Base Level
DATE,String,Last modification date/time of this file
DATE-OBS,String,Date/time at start of exposure
DQLVL0,UInt,Quality check bitfield of N characters
DQLVL1,UInt,Quality check bitfield of N characters
DQLVL2,UInt,Quality check bitfield of N characters
DRPTAG,String,RV DRP version
EPRVTAG,String,Version of EPRV standard applied
EXPTIME,Float,Exposure time
FILENAME,String,Name of the FITS file
FULLCOMP,String,Is this file fully compliant with the RVSTAND EPRV standard?
GEOSYS,String,Coordinate system for observatory / telesccope location
INSTERA,String,Tag to track permanent changes to instrument
INSTRUME,String,Instrument name
ISSOLAR,Boolean,Boolean to indicate if observation is of the sun
JD_UTC,Double,Julian date of DATE-OBS
NUMORDER,Uint,Number of Orders
NUMTEL,UInt,Number of telescopes used in the observation
NUMTRACE,UInt,Iterator for Number of Object related keywords
OBJECT,String,Primary Object Name
OBSALT,Float,Altitude used for barycentric correction
OBSERVAT,String,Observatory name
OBSERVER,String,Observer
OBSLAT,Float,Latitude used for barycentric correction
OBSLON,Float,Longitude used for barycentric correction
OBSTYPE,String,Observation type
SUMMFLAG,String,Summary roll up of other flag keywords
TELEID1,String,Labels for telescopes as indexed in TCS keywords
TELESCOP,String,Telescope name
TRACE1,String,Type of object in trace 1 to #
VOCLASS,String,Version of EPRV standard applied
