Ext,HDU,Keyword,Description,Units,Data Type,Value,Range,Source,Keep,comment
PRIMARY,0,ORIGIN,File Originator,N/A,string,astropy.fits,N/A,neid,y,
PRIMARY,0,INSTRUME,Instrument Name,N/A,string,KPF,fixed,neid,y,
PRIMARY,0,DATALVL,Data Product Base Level,N/A,Uint,0,"0",neid,y,
PRIMARY,0,DATATMP,Data Temporary Intermediate Product,N/A,Bool,T/F,T/F,neid,y,
PRIMARY,0,OBSERVER,Observer Name,N/A,string,Classical Observer Name or Queue,N/A,neid,y,
PRIMARY,0,TIMESYS,Time Scale,N/A,string,UTC,fixed,neid,y,
PRIMARY,0,PROGRAM,Observing Program ID,N/A,string,Keck Prog ID,N/A,neid,y,
PRIMARY,0,PINAME,Program PI Name,N/A,string,Keck PI,N/A,neid,y,
PRIMARY,0,OBSTYPE,Observation Type,N/A,string,Tst,"Sci, Eng,Cal,Tst",neid,y,
PRIMARY,0,OBS-MODE,Observing Mode,N/A,string,HR/LR,HR/LR,neid,y,
PRIMARY,0,OBJECT,Object Name,N/A,string,HD10700,NA,neid,y,
PRIMARY,0,FILENAME,Name of this FITS File,N/A,string,KPFL#_YYYYMMDDThhmmss.fits,N/A,neid,y,
PRIMARY,0,DATE,File Creation Date (UTC),N/A,string,2020-12-20T01:41:48.123,N/A,neid,y,
PRIMARY,0,DATE-OBS,Obs Date Exp Start (UTC),UTC,string,2020-12-20T01:41:48.123,N/A,neid,y,
PRIMARY,0,OBSJD,Julian Date of DATE-OBS,day,double,ex: 2459203.638461609 ,N/A,neid,y,
PRIMARY,0,EXPTIME,Exposure Time (s),s,float,,>=0,neid,y,
PRIMARY,0,FIBERAPR,Fiber Aperture Diameter on Sky (arcsec),arcsec,float,,>=0,neid,y,
PRIMARY,0,SHUTOPEN,Shutter-Open Date (UTC),UTC,DateTime,ex:'2020-12-20T01:41:48.123',>=0,neid,y,
PRIMARY,0,SHUTCLSD,Shutter-Close Date (UTC),UTC,DateTime,ex:'2020-12-20T01:41:48.123',>=0,neid,y,
PRIMARY,0,SCI-OBJ,Object in Science fiber,N/A,string,Sci/LFC/Etalon/Thar,,neid,y,
PRIMARY,0,CAL-OBJ,Object in Calibration Fiber,N/A,string,Sci/LFC/Etalon/Thar,,neid,y,
PRIMARY,0,SKY-OBJ,Object in Sky Fiber,N/A,string,Sky/Cal,,neid,y,
PRIMARY,0,QTIME,Queue Data Time (UTC),DateTime,DateTime,2020-12-20T01:41:48.123,,neid,y,
PRIMARY,0,QOBJECT,Queue Object Name,N/A,string,ex: 'Gaia DR2 2452378776434276992',,neid,y,
PRIMARY,0,QRA,Queue Right Ascension,sexagesimal,string,HH:MM:SS.sss,0-24,neid,y,
PRIMARY,0,QDEC,Queue Declination,sexagesimal,string,DD:mm:ss.sss,-180,neid,y,
PRIMARY,0,QEQNX,Queue Equinox (yr),yr,float,2000,fixed,neid,y,
PRIMARY,0,QEPOCH,Queue Epoch (yr),yr,float,2000,fixed,neid,y,
PRIMARY,0,QPLX,Queue parallax (mas),mas,float,12.34,>=0,neid,y,
PRIMARY,0,QPMRA,"Queue Proper Motion RA (""/yr)","""/yr",float,,N/A,neid,y,
PRIMARY,0,QPMDEC,"Queue Proper Motion DEC (""/yr)","""/yr",float,,N/A,neid,y,
PRIMARY,0,QPROG,Queue Program Number,NA,string,,N/A,neid,y,
PRIMARY,0,QRV,Queue RV for Star,km/s,float,,N/A,neid,y,
PRIMARY,0,QZ,Queue Z for Star,N/A,float,,N/A,neid,y,
PRIMARY,0,QID,Queue ID,N/A,Ulong,,N/A,neid,y,
PRIMARY,0,QSNR,Queue Signal-to-Noise Ratio,N/A,float,,>=0,neid,y,
PRIMARY,0,QEXPTIME,Queue Exposure Time (s),s,float,,>=0,neid,y,
PRIMARY,0,OBSERVAT,Observatory Name,N/A,string,Keck,fixed,neid,y,check keck compliance
PRIMARY,0,TELESCOP,Telescope Name,N/A,string,Keck I,fixed,neid,y,
PRIMARY,0,OBSLON,Observatory Longitude,degrees,float,,fixed,neid,y,
PRIMARY,0,OBSLAT,Observatory Latitude,degrees,float,,fixed,neid,y,
PRIMARY,0,OBSALT,Observatory Altitude,meters,float,,,neid,y,
PRIMARY,0,SEEING,Seeing at Exp Start (arcsec),arcsec,float,,,neid,y,
PRIMARY,0,AIRMASS,TCS-Telescope Airmass at Exp Start,airmass,float,,,neid,y,
PRIMARY,0,FOCUSPOS,Telescope Focus Pos (mm),mm,float,,,neid,y,
PRIMARY,0,LIGHTS,Dome Lights,,string,on/off,,neid,y,
PRIMARY,0,TCSTIME,TCS-Telescope Data Date (UTC),,DateTime,2020-12-20T03:19:27,,neid,y,
PRIMARY,0,TGTTIME,TCS-Target Data Date (UTC),,DateTime,,,neid,y,
PRIMARY,0,TCSRA,TCS-Telescope RA J2000,HH:MM:SS,,"""1:44:7.508""",,neid,y,
