CHIP,ORDER,F9_espresso,G2_espresso,G8_espresso,G9_espresso,K2_espresso,K6_espresso,M2_espresso,sun,lfc,thar,etalon
GREEN,0,0,0,0,0,0,0,0,0,0,0,0
GREEN,1,0,0,0,0,0,0,0,0,0,0,0
GREEN,2,0,0,0,0,0,0,0,0,0,0,0
GREEN,3,0,0,0,0,0,0,0,0,0,0,0
GREEN,4,0,0,0,0,0,0,0,0,0,0,0
GREEN,5,0,0,0,0,0,0,0,0,0,0,0
GREEN,6,0,0,0,0,0,0,0,0,0,0,0
GREEN,7,0,0,0,0,0,0,0,0,0,0,0
GREEN,8,0,0,0,0,0,0,0,0,0,0,0
GREEN,9,0,0,0,0,0,0,0,0,0,0,0
GREEN,10,0,0,0,0,0,0,0,0,0,0,0
GREEN,11,0,0,0,0,0,0,0,0,0,0,0
GREEN,12,0,0,0,0,0,0,0,0,0,0,0
GREEN,13,0,0,0,0,0,0,0,0,0,0,0
GREEN,14,0,0,0,0,0,0,0,0,0,0,0
GREEN,15,0.8816,0.8975,0.931,1,0.9512,0.9894,0.0984,0.8062,1,1,1
GREEN,16,0.6582,0.7776,0.766,0.8301,0.9285,0.9465,0.1029,0.6847,1,1,1
GREEN,17,0.7435,0.858,0.8567,0.9468,1,1,0.0906,0.8177,1,1,1
GREEN,18,0.9108,0.8995,0.883,0.9442,0.9647,0.9566,0.0771,0.8617,1,1,1
GREEN,19,1,1,1,0.9864,0.9042,0.9227,0.1569,1,1,1,1
GREEN,20,0.8767,0.8618,0.8538,0.9029,0.8033,0.8792,0.2017,0.8811,1,1,1
GREEN,21,0.6506,0.6696,0.7126,0.7443,0.6563,0.7236,0.1423,0.7636,1,1,1
GREEN,22,0.729,0.7538,0.7516,0.7399,0.6193,0.6763,0.0821,0.8344,1,1,1
GREEN,23,0.7117,0.7432,0.7238,0.7721,0.6576,0.7287,0.1828,0.8615,1,1,1
GREEN,24,0.5649,0.5815,0.5913,0.6254,0.5163,0.5777,0.172,0.6742,1,1,1
GREEN,25,0.6144,0.7201,0.7118,0.8253,0.7052,0.8101,0.3025,0.8419,1,1,1
GREEN,26,0.4354,0.5034,0.5244,0.6059,0.51,0.5804,0.2324,0.6281,1,1,1
GREEN,27,0.7223,0.7463,0.7568,0.815,0.6894,0.7903,0.1725,0.9277,1,1,1
GREEN,28,0.4566,0.5861,0.5425,0.6272,0.4898,0.5791,0.2516,0.6776,1,1,1
GREEN,29,0.5002,0.5991,0.6253,0.6995,0.5717,0.6745,0.213,0.7973,1,1,1
GREEN,30,0.2183,0.2836,0.2707,0.3782,0.3255,0.3889,0.218,0.3931,1,1,1
GREEN,31,0.3089,0.4359,0.4419,0.5584,0.4461,0.5279,0.2711,0.5681,1,1,1
GREEN,32,0.2201,0.2915,0.2919,0.3543,0.2853,0.3434,0.2961,0.3811,1,1,1
GREEN,33,0,0,0,0,0,0,0,0,1,1,1
GREEN,34,0,0,0,0,0,0,0.0191,0,1,1,1
RED,0,0,0,0,0,0,0,0,0,0,0,0
RED,1,0.0914,0.1074,0.1128,0.1422,0.1233,0.1414,0.078,0.1493,1,1,1
RED,2,0.3215,0.3588,0.3618,0.3959,0.3426,0.4008,0.1546,0.4867,1,1,1
RED,3,0.2344,0.2787,0.2559,0.3173,0.2961,0.3537,0.1818,0.342,1,1,1
RED,4,0.3748,0.3629,0.3665,0.4921,0.446,0.5252,0.1547,0.5182,1,1,1
RED,5,0.0386,0.063,0.0449,0.0515,0.0482,0.0578,0.2455,0.0623,1,1,1
RED,6,0.343,0.3502,0.3454,0.4079,0.3202,0.3848,0.7381,0.4925,1,1,1
RED,7,0.0756,0.0049,0.0646,0.0716,0.0554,0.0651,0.6114,0.0916,1,1,1
RED,8,0,0,0,0,0,0,0,0,1,1,1
RED,9,0.0465,0.0669,0.0628,0.0982,0.0893,0.1098,1,0.1009,1,1,1
RED,10,0.1267,0.1717,0.1599,0.2306,0.1829,0.2372,0.8764,0.262,1,1,1
RED,11,0.1776,0.2238,0.2298,0.3058,0.2373,0.292,0.9109,0.3887,1,1,1
RED,12,0.1776,0.2204,0.2205,0.2868,0.2259,0.2773,0.7232,0.3877,1,1,1
RED,13,0,0,0,0,0,0,0,0,1,1,1
RED,14,0,0,0,0,0,0,0,0,1,1,1
RED,15,0,0,0,0,0,0,0,0,1,1,1
RED,16,0,0,0,0,0,0,0,0,1,1,1
RED,17,0,0,0,0,0,0,0,0,1,1,1
RED,18,0,0,0,0,0,0,0,0,1,1,1
RED,19,0.0717,0.0841,0.0698,0.093,0.0674,0.0839,0,0.1404,1,1,1
RED,20,0.2314,0.269,0.2582,0.3619,0.2481,0.3067,0,0.5211,1,1,1
RED,21,0.2046,0.2114,0.2048,0.2604,0.1844,0.2306,0,0.4201,1,1,1
RED,22,0,0,0,0,0,0,0,0,1,1,1
RED,23,0.1709,0.1562,0.1496,0.1646,0.1174,0.1487,0,0.3298,1,1,1
RED,24,0.0289,0.03,0.0298,0.0419,0.0235,0.0297,0,0.0668,1,1,1
RED,25,0,0,0,0,0,0,0,0,1,1,1
RED,26,0,0,0,0,0,0,0,0,1,1,1
RED,27,0,0,0,0,0,0,0,0,1,1,1
RED,28,0,0,0,0,0,0,0,0,1,1,1
RED,29,0,0,0,0,0,0,0,0,1,1,1
RED,30,0,0,0,0,0,0,0,0,1,1,1
RED,31,0,0,0,0,0,0,0,0,1,1,1
