CHIP,INDEX,ECHELLE,WAVE_MIN,WAVE_MAX,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9
GREEN,0,137,4457.429897774398,4511.279781470077,4486.230159684637,26.93732056474151,-1.8772365658239414,-0.012525913498881271,0.0019165034245434388,0.00014719659639840057,-6.755114505416145e-13,1.4423745205394272e-13,8.976992618432409e-13,1.6546560042952806e-13
GREEN,1,136,4490.150187603549,4544.403869423943,4519.1655932195035,27.137716130434914,-1.8893972539403607,-0.011210083132951293,0.0008325481841773772,0.00033486289516312056,-2.0186388242623286e-13,-9.030876593055622e-14,1.2735586827666047e-12,-9.314814028433985e-14
GREEN,2,135,4523.355392127639,4578.01763321009,4552.588350012862,27.34115386389415,-1.902708489969453,-0.009525356201997272,0.000871145973534608,-0.0005079664664140656,-4.892911637459404e-13,-2.113832963653605e-13,4.268568310494299e-13,-2.6309821915702925e-13
GREEN,3,134,4557.059018277398,4612.1287048245795,4586.508864361342,27.54744115026399,-1.9160838575396795,-0.011270442153765383,0.0010810471859026012,-0.001327434519197408,-2.9953300459995226e-14,7.015275235103619e-14,9.045790099652281e-13,1.2410346782294233e-13
GREEN,4,133,4591.266202489284,4646.75881737658,4620.939248742201,27.757945638609776,-1.92755514624503,-0.011165490116903034,0.000816336975577901,-0.00047270484497619037,-2.0917707928847737e-13,2.408929013463858e-13,1.1774524663259658e-12,3.2120395337289685e-13
GREEN,5,132,4625.989429379901,4681.908504383657,4655.889877496752,27.970521058257347,-1.9417095994018923,-0.01079566771611808,0.0007989844263062871,-0.00018788866281245552,1.1405710951622494e-12,3.948042994190463e-14,2.4388043789183943e-12,2.0590142566495282e-13
GREEN,6,131,4661.243843082525,4717.593777379579,4691.37344140519,28.186612817352092,-1.955463957976152,-0.01094822932633694,0.0008327838385333902,-0.0006974394993161994,-4.3471655100739e-13,-5.298825810330743e-15,8.402356991160398e-13,-1.991325251750263e-14
GREEN,7,130,4697.038898779832,4753.827513094406,4727.402117100504,28.407314519565034,-1.9689056488317325,-0.011427441893788467,-5.514550167863921e-06,-0.0015799203852575987,-5.518133398616546e-13,-3.9444245970058815e-13,8.880156699781133e-13,-5.950539740618101e-13
GREEN,8,129,4733.390177471157,4790.624221161194,4763.988195644947,28.62876755264063,-1.9825329451160887,-0.009922812732581348,0.0015366163489907785,-0.0018228948897447566,4.1034479165277144e-13,-3.9907535635225576e-13,1.7442931123634092e-12,-4.3467045385266526e-13
GREEN,9,128,4770.304126932821,4827.996140937537,4801.145012975007,28.85699872034113,-1.9969005750642028,-0.010497955615608158,0.0020215352373404104,-0.0004937623673900073,1.7860019731718979e-13,2.794124599124464e-13,2.094034126905418e-12,3.0217015272969617e-13
