CHIP,INDEX,ECHELLE,WAVE
GREEN,0,137,4507.73689
GREEN,0,137,4506.48038
GREEN,0,137,4501.24554
GREEN,0,137,4500.64133
GREEN,0,137,4500.20214
GREEN,0,137,4499.1763
GREEN,0,137,4497.5785
GREEN,0,137,4496.2238
GREEN,0,137,4495.9519
GREEN,0,137,4494.8272
GREEN,0,137,4494.59422
GREEN,0,137,4493.3605
GREEN,0,137,4490.92416
GREEN,0,137,4489.94025
GREEN,0,137,4489.5715
GREEN,0,137,4488.75448
GREEN,0,137,4488.15608
GREEN,0,137,4486.9721
GREEN,0,137,4484.6047
GREEN,0,137,4483.42675
GREEN,0,137,4482.0715
GREEN,0,137,4480.8948
GREEN,0,137,4479.85234
GREEN,0,137,4479.6599
GREEN,0,137,4477.0205
GREEN,0,137,4476.47713
GREEN,0,137,4475.3293
GREEN,0,137,4474.1004
GREEN,0,137,4473.1247
GREEN,0,137,4472.2454
GREEN,0,137,4470.77961
GREEN,0,137,4470.4428
GREEN,0,137,4469.5754
GREEN,0,137,4467.8788
GREEN,0,137,4466.59381
GREEN,0,137,4466.0997
GREEN,0,137,4465.0879
GREEN,0,137,4464.91861
GREEN,0,137,4463.04136
GREEN,0,137,4462.49313
GREEN,0,137,4459.9894
GREEN,0,137,4459.25275
GREEN,0,137,4458.4873
GREEN,0,137,4457.9598
GREEN,1,136,4542.27213
GREEN,1,136,4538.417
GREEN,1,136,4537.2513
GREEN,1,136,4536.52627
GREEN,1,136,4535.3912
GREEN,1,136,4534.57516
GREEN,1,136,4534.34793
GREEN,1,136,4533.5285
GREEN,1,136,4532.9847
GREEN,1,136,4531.58942
GREEN,1,136,4529.2909
GREEN,1,136,4526.3588
GREEN,1,136,4526.1061
GREEN,1,136,4522.46172
GREEN,1,136,4520.52661
GREEN,1,136,4517.3305
GREEN,1,136,4517.2268
GREEN,1,136,4516.38451
GREEN,1,136,4514.94575
GREEN,1,136,4514.48896
GREEN,1,136,4513.7488
GREEN,1,136,4511.7911
GREEN,1,136,4511.2234
GREEN,1,136,4509.4274
GREEN,1,136,4509.3003
GREEN,1,136,4507.73689
GREEN,1,136,4506.48038
GREEN,1,136,4501.24554
GREEN,1,136,4500.64133
GREEN,1,136,4500.20214
GREEN,1,136,4499.1763
GREEN,1,136,4497.5785
GREEN,1,136,4496.2238
GREEN,1,136,4495.9519
GREEN,1,136,4494.8272
GREEN,1,136,4494.59422
GREEN,1,136,4493.3605
GREEN,1,136,4490.92416
GREEN,2,135,4576.5333
GREEN,2,135,4576.5162
GREEN,2,135,4574.9855
GREEN,2,135,4572.50055
GREEN,2,135,4572.25324
GREEN,2,135,4571.0178
GREEN,2,135,4570.4281
GREEN,2,135,4569.8031
GREEN,2,135,4569.42287
GREEN,2,135,4568.52031
GREEN,2,135,4567.9292
GREEN,2,135,4567.0894
GREEN,2,135,4566.11469
GREEN,2,135,4565.4571
GREEN,2,135,4564.5711
GREEN,2,135,4563.7517
GREEN,2,135,4563.3585
GREEN,2,135,4562.7712
GREEN,2,135,4562.6262
GREEN,2,135,4562.5046
GREEN,2,135,4560.5894
GREEN,2,135,4560.3348
GREEN,2,135,4559.62349
GREEN,2,135,4557.6648
GREEN,2,135,4557.08966
GREEN,2,135,4553.42957
GREEN,2,135,4552.7494
GREEN,2,135,4549.6014
GREEN,2,135,4548.5246
GREEN,2,135,4547.9504
GREEN,2,135,4547.19005
GREEN,2,135,4544.6896
GREEN,2,135,4542.27213
GREEN,2,135,4537.2513
GREEN,2,135,4536.52627
GREEN,2,135,4535.3912
GREEN,2,135,4534.57516
GREEN,2,135,4534.34793
GREEN,2,135,4533.5285
GREEN,2,135,4532.9847
GREEN,2,135,4531.58942
GREEN,2,135,4529.2909
GREEN,2,135,4526.3588
GREEN,2,135,4526.1061
GREEN,3,134,4611.9191
GREEN,3,134,4610.6615
GREEN,3,134,4609.91115
GREEN,3,134,4609.22556
GREEN,3,134,4607.7918
GREEN,3,134,4604.43408
GREEN,3,134,4604.176
GREEN,3,134,4602.1609
GREEN,3,134,4600.9936
GREEN,3,134,4597.5956
GREEN,3,134,4596.70818
GREEN,3,134,4594.93094
GREEN,3,134,4594.2438
GREEN,3,134,4593.95285
GREEN,3,134,4590.9581
GREEN,3,134,4590.4083
GREEN,3,134,4589.71183
GREEN,3,134,4585.6517
GREEN,3,134,4585.1577
GREEN,3,134,4582.45706
GREEN,3,134,4581.11049
GREEN,3,134,4579.1062
GREEN,3,134,4578.8639
GREEN,3,134,4576.5162
GREEN,3,134,4575.5882
GREEN,3,134,4575.3096
GREEN,3,134,4574.9855
GREEN,3,134,4572.50055
GREEN,3,134,4572.25324
GREEN,3,134,4571.0178
GREEN,3,134,4570.4281
GREEN,3,134,4569.42287
GREEN,3,134,4568.52031
GREEN,3,134,4567.9292
GREEN,3,134,4566.11469
GREEN,3,134,4565.4571
GREEN,3,134,4563.7517
GREEN,3,134,4563.3585
GREEN,3,134,4562.7712
GREEN,3,134,4562.6262
GREEN,3,134,4562.5046
GREEN,3,134,4560.5894
GREEN,3,134,4560.3348
GREEN,3,134,4559.62349
GREEN,3,134,4557.6648
GREEN,4,133,4646.0074
GREEN,4,133,4644.8567
GREEN,4,133,4641.34546
GREEN,4,133,4641.0021
GREEN,4,133,4640.8178
GREEN,4,133,4639.98368
GREEN,4,133,4639.4245
GREEN,4,133,4634.9164
GREEN,4,133,4633.05875
GREEN,4,133,4632.939
GREEN,4,133,4629.49761
GREEN,4,133,4628.59385
GREEN,4,133,4626.7899
GREEN,4,133,4626.5698
GREEN,4,133,4625.609
GREEN,4,133,4624.4122
GREEN,4,133,4622.45717
GREEN,4,133,4621.7416
GREEN,4,133,4621.5348
GREEN,4,133,4620.7734
GREEN,4,133,4617.7453
GREEN,4,133,4616.62686
GREEN,4,133,4616.31697
GREEN,4,133,4614.89674
GREEN,4,133,4613.8346
GREEN,4,133,4613.1513
GREEN,4,133,4611.9191
GREEN,4,133,4609.91115
GREEN,4,133,4609.22556
GREEN,4,133,4608.6685
GREEN,4,133,4607.7918
GREEN,4,133,4604.176
GREEN,4,133,4602.1609
GREEN,4,133,4600.9936
GREEN,4,133,4597.5956
GREEN,4,133,4596.70818
GREEN,4,133,4594.93094
GREEN,4,133,4594.2438
GREEN,4,133,4593.95285
GREEN,5,132,4681.7013
GREEN,5,132,4681.54774
GREEN,5,132,4679.5447
GREEN,5,132,4678.2811
GREEN,5,132,4677.36436
GREEN,5,132,4676.6846
GREEN,5,132,4674.96915
GREEN,5,132,4674.358
GREEN,5,132,4673.7443
GREEN,5,132,4672.2513
GREEN,5,132,4671.29151
GREEN,5,132,4670.9739
GREEN,5,132,4670.6627
GREEN,5,132,4669.47842
GREEN,5,132,4668.10486
GREEN,5,132,4667.82207
GREEN,5,132,4667.31106
GREEN,5,132,4667.0218
GREEN,5,132,4666.2766
GREEN,5,132,4664.50804
GREEN,5,132,4663.8994
GREEN,5,132,4660.8745
GREEN,5,132,4659.8302
GREEN,5,132,4659.6827
GREEN,5,132,4656.3352
GREEN,5,132,4653.29204
GREEN,5,132,4652.85773
GREEN,5,132,4652.2243
GREEN,5,132,4652.1217
GREEN,5,132,4651.9331
GREEN,5,132,4651.53615
GREEN,5,132,4651.279
GREEN,5,132,4648.5522
GREEN,5,132,4647.98738
GREEN,5,132,4647.8418
GREEN,5,132,4646.0074
GREEN,5,132,4644.8567
GREEN,5,132,4641.34546
GREEN,5,132,4641.0021
GREEN,5,132,4640.8178
GREEN,5,132,4639.98368
GREEN,5,132,4639.4245
GREEN,5,132,4634.9164
GREEN,5,132,4633.05875
GREEN,5,132,4632.939
GREEN,5,132,4629.49761
GREEN,5,132,4628.59385
GREEN,5,132,4626.7899
GREEN,5,132,4626.5698
GREEN,6,131,4716.75
GREEN,6,131,4714.15973
GREEN,6,131,4713.8
GREEN,6,131,4713.3241
GREEN,6,131,4712.3103
GREEN,6,131,4709.61126
GREEN,6,131,4707.8937
GREEN,6,131,4707.5685
GREEN,6,131,4707.07742
GREEN,6,131,4706.9336
GREEN,6,131,4705.30601
GREEN,6,131,4703.906
GREEN,6,131,4703.1601
GREEN,6,131,4702.2731
GREEN,6,131,4702.0869
GREEN,6,131,4701.4557
GREEN,6,131,4699.5395
GREEN,6,131,4698.128
GREEN,6,131,4696.76802
GREEN,6,131,4696.35195
GREEN,6,131,4696.2345
GREEN,6,131,4695.40508
GREEN,6,131,4693.1964
GREEN,6,131,4692.94833
GREEN,6,131,4692.8115
GREEN,6,131,4692.3628
GREEN,6,131,4691.93467
GREEN,6,131,4690.7635
GREEN,6,131,4690.48196
GREEN,6,131,4687.50612
GREEN,6,131,4684.6625
GREEN,6,131,4684.4876
GREEN,6,131,4681.9558
GREEN,6,131,4681.7013
GREEN,6,131,4681.54774
GREEN,6,131,4679.5447
GREEN,6,131,4678.2811
GREEN,6,131,4677.36436
GREEN,6,131,4676.6846
GREEN,6,131,4674.96915
GREEN,6,131,4674.358
GREEN,6,131,4673.7443
GREEN,6,131,4672.2513
GREEN,6,131,4672.1399
GREEN,6,131,4671.29151
GREEN,6,131,4670.9739
GREEN,6,131,4670.6627
GREEN,6,131,4669.47842
GREEN,6,131,4668.10486
GREEN,6,131,4667.82207
GREEN,6,131,4667.31106
GREEN,6,131,4667.0218
GREEN,6,131,4666.2766
GREEN,6,131,4664.50804
GREEN,6,131,4663.8994
GREEN,7,130,4753.74313
GREEN,7,130,4751.29969
GREEN,7,130,4751.1271
GREEN,7,130,4750.52844
GREEN,7,130,4749.9195
GREEN,7,130,4746.66469
GREEN,7,130,4745.0281
GREEN,7,130,4745.012
GREEN,7,130,4743.5921
GREEN,7,130,4743.44403
GREEN,7,130,4742.62979
GREEN,7,130,4742.28461
GREEN,7,130,4741.85513
GREEN,7,130,4741.002
GREEN,7,130,4740.4385
GREEN,7,130,4739.2416
GREEN,7,130,4735.3706
GREEN,7,130,4731.415
GREEN,7,130,4731.2024
GREEN,7,130,4730.45105
GREEN,7,130,4730.3073
GREEN,7,130,4729.4556
GREEN,7,130,4729.1715
GREEN,7,130,4726.0937
GREEN,7,130,4725.10522
GREEN,7,130,4724.75959
GREEN,7,130,4723.8204
GREEN,7,130,4723.4096
GREEN,7,130,4722.59744
GREEN,7,130,4722.1025
GREEN,7,130,4721.7794
GREEN,7,130,4721.2992
GREEN,7,130,4721.014
GREEN,7,130,4720.7632
GREEN,7,130,4719.9371
GREEN,7,130,4719.8359
GREEN,7,130,4718.7103
GREEN,7,130,4716.75
GREEN,7,130,4715.9905
GREEN,7,130,4714.15973
GREEN,7,130,4713.8
GREEN,7,130,4713.3241
GREEN,7,130,4712.7362
GREEN,7,130,4712.3103
GREEN,7,130,4709.61126
GREEN,7,130,4707.8937
GREEN,7,130,4707.5685
GREEN,7,130,4707.07742
GREEN,7,130,4706.9336
GREEN,7,130,4705.30601
GREEN,7,130,4703.906
GREEN,7,130,4702.2731
GREEN,7,130,4702.0869
GREEN,7,130,4701.4557
GREEN,7,130,4701.0012
GREEN,7,130,4699.5395
GREEN,7,130,4698.128
GREEN,8,129,4788.48633
GREEN,8,129,4787.86927
GREEN,8,129,4785.3769
GREEN,8,129,4785.19922
GREEN,8,129,4784.9763
GREEN,8,129,4784.0982
GREEN,8,129,4782.8616
GREEN,8,129,4782.6264
GREEN,8,129,4782.0872
GREEN,8,129,4781.7681
GREEN,8,129,4781.7502
GREEN,8,129,4781.06504
GREEN,8,129,4780.926
GREEN,8,129,4779.62979
GREEN,8,129,4778.52707
GREEN,8,129,4778.1134
GREEN,8,129,4777.12924
GREEN,8,129,4776.64804
GREEN,8,129,4775.58602
GREEN,8,129,4774.57553
GREEN,8,129,4769.3908
GREEN,8,129,4767.93327
GREEN,8,129,4766.92756
GREEN,8,129,4765.67858
GREEN,8,129,4763.8585
GREEN,8,129,4762.4415
GREEN,8,129,4761.0197
GREEN,8,129,4759.6222
GREEN,8,129,4757.8673
GREEN,8,129,4753.74313
GREEN,8,129,4751.29969
GREEN,8,129,4751.1271
GREEN,8,129,4750.52844
GREEN,8,129,4749.9195
GREEN,8,129,4749.7329
GREEN,8,129,4746.66469
GREEN,8,129,4745.0281
GREEN,8,129,4745.012
GREEN,8,129,4743.5921
GREEN,8,129,4743.44403
GREEN,8,129,4742.62979
GREEN,8,129,4742.4848
GREEN,8,129,4742.28461
GREEN,8,129,4741.85513
GREEN,8,129,4741.002
GREEN,8,129,4740.4385
GREEN,8,129,4739.2416
GREEN,8,129,4735.3706
GREEN,9,128,4826.407
GREEN,9,128,4825.34486
GREEN,9,128,4824.95428
GREEN,9,128,4824.5315
GREEN,9,128,4824.20253
GREEN,9,128,4823.2118
GREEN,9,128,4822.93521
GREEN,9,128,4822.7358
GREEN,9,128,4822.6204
GREEN,9,128,4822.23166
GREEN,9,128,4821.8121
GREEN,9,128,4820.9216
GREEN,9,128,4820.53977
GREEN,9,128,4819.9946
GREEN,9,128,4818.3667
GREEN,9,128,4815.24169
GREEN,9,128,4815.06574
GREEN,9,128,4814.35188
GREEN,9,128,4813.72038
GREEN,9,128,4810.95832
GREEN,9,128,4809.47754
GREEN,9,128,4805.2978
GREEN,9,128,4804.014
GREEN,9,128,4801.5147
GREEN,9,128,4798.8381
GREEN,9,128,4797.25375
GREEN,9,128,4795.2453
GREEN,9,128,4794.58447
GREEN,9,128,4792.8556
GREEN,9,128,4791.7785
GREEN,9,128,4790.72564
GREEN,9,128,4788.48633
GREEN,9,128,4788.0631
GREEN,9,128,4787.86927
GREEN,9,128,4785.3769
GREEN,9,128,4785.19922
GREEN,9,128,4784.9763
GREEN,9,128,4784.0982
GREEN,9,128,4782.8616
GREEN,9,128,4782.6264
GREEN,9,128,4782.0872
GREEN,9,128,4781.06504
GREEN,9,128,4780.926
GREEN,9,128,4779.62979
GREEN,9,128,4778.52707
GREEN,9,128,4778.1134
GREEN,9,128,4777.12924
GREEN,9,128,4776.64804
GREEN,9,128,4775.58602
GREEN,9,128,4774.57553
GREEN,10,127,4864.53144
GREEN,10,127,4863.07528
GREEN,10,127,4862.57457
GREEN,10,127,4859.69011
GREEN,10,127,4858.8967
GREEN,10,127,4854.22425
GREEN,10,127,4851.79469
GREEN,10,127,4851.21655
GREEN,10,127,4850.49482
GREEN,10,127,4850.3958
GREEN,10,127,4849.71699
GREEN,10,127,4849.5676
GREEN,10,127,4848.6813
GREEN,10,127,4846.5163
GREEN,10,127,4846.2782
GREEN,10,127,4842.1953
GREEN,10,127,4841.82755
GREEN,10,127,4838.7641
GREEN,10,127,4835.1786
GREEN,10,127,4834.15315
GREEN,10,127,4833.7725
GREEN,10,127,4832.94768
GREEN,10,127,4832.8142
GREEN,10,127,4832.47122
GREEN,10,127,4831.14692
GREEN,10,127,4828.04916
GREEN,10,127,4827.3517
GREEN,10,127,4825.34486
GREEN,10,127,4824.95428
GREEN,10,127,4824.5315
GREEN,10,127,4824.20253
GREEN,10,127,4823.2118
GREEN,10,127,4822.93521
GREEN,10,127,4822.7358
GREEN,10,127,4822.6204
GREEN,10,127,4822.23166
GREEN,10,127,4821.8121
GREEN,10,127,4820.53977
GREEN,10,127,4819.9946
GREEN,10,127,4815.24169
GREEN,10,127,4815.06574
GREEN,10,127,4814.35188
GREEN,10,127,4813.72038
GREEN,10,127,4810.95832
GREEN,10,127,4809.47754
GREEN,11,126,4904.16315
GREEN,11,126,4903.42316
GREEN,11,126,4900.60818
GREEN,11,126,4900.1738
GREEN,11,126,4899.8275
GREEN,11,126,4896.32181
GREEN,11,126,4894.81163
GREEN,11,126,4894.12547
GREEN,11,126,4893.0274
GREEN,11,126,4891.8241
GREEN,11,126,4891.224
GREEN,11,126,4890.85549
GREEN,11,126,4883.8125
GREEN,11,126,4883.2171
GREEN,11,126,4882.56758
GREEN,11,126,4880.7121
GREEN,11,126,4880.09559
GREEN,11,126,4879.37179
GREEN,11,126,4879.175
GREEN,11,126,4878.6275
GREEN,11,126,4878.3639
GREEN,11,126,4877.8572
GREEN,11,126,4875.72572
GREEN,11,126,4874.27785
GREEN,11,126,4873.3917
GREEN,11,126,4872.64974
GREEN,11,126,4870.2413
GREEN,11,126,4869.8881
GREEN,11,126,4866.83653
GREEN,11,126,4864.53144
GREEN,11,126,4863.07528
GREEN,11,126,4862.57457
GREEN,11,126,4862.0873
GREEN,11,126,4859.69011
GREEN,11,126,4859.3049
GREEN,11,126,4858.8967
GREEN,11,126,4854.22425
GREEN,11,126,4851.79469
GREEN,11,126,4851.21655
GREEN,11,126,4850.49482
GREEN,11,126,4849.71699
GREEN,11,126,4849.5676
GREEN,11,126,4848.6813
GREEN,11,126,4846.5163
GREEN,11,126,4846.2782
GREEN,12,125,4942.7924
GREEN,12,125,4941.02079
GREEN,12,125,4940.6488
GREEN,12,125,4940.4398
GREEN,12,125,4939.8829
GREEN,12,125,4939.6671
GREEN,12,125,4939.20775
GREEN,12,125,4938.15308
GREEN,12,125,4935.2294
GREEN,12,125,4931.361
GREEN,12,125,4930.7498
GREEN,12,125,4930.462
GREEN,12,125,4929.15592
GREEN,12,125,4928.6742
GREEN,12,125,4927.3255
GREEN,12,125,4927.1646
GREEN,12,125,4926.8007
GREEN,12,125,4925.7965
GREEN,12,125,4925.6208
GREEN,12,125,4924.3183
GREEN,12,125,4922.98711
GREEN,12,125,4921.39049
GREEN,12,125,4921.18931
GREEN,12,125,4919.1948
GREEN,12,125,4916.7874
GREEN,12,125,4913.90116
GREEN,12,125,4913.4141
GREEN,12,125,4912.75013
GREEN,12,125,4912.5067
GREEN,12,125,4912.16404
GREEN,12,125,4911.9194
GREEN,12,125,4911.5287
GREEN,12,125,4911.2133
GREEN,12,125,4908.5797
GREEN,12,125,4904.16315
GREEN,12,125,4903.9685
GREEN,12,125,4903.42316
GREEN,12,125,4900.60818
GREEN,12,125,4900.1738
GREEN,12,125,4899.8275
GREEN,12,125,4896.32181
GREEN,12,125,4894.81163
GREEN,12,125,4894.12547
GREEN,12,125,4893.0274
GREEN,12,125,4891.8241
GREEN,12,125,4891.224
GREEN,12,125,4890.85549
GREEN,13,124,4982.3404
GREEN,13,124,4981.57549
GREEN,13,124,4978.7794
GREEN,13,124,4977.337
GREEN,13,124,4974.7805
