chip, pixel_rate_khz, num_amps, amp_ID, param_a2, param_a1, param_a0, comment
green, 100, 4,  0, -2.20509938e-12, 3.45353500e-07, 9.99120502e-01, Ashley Baker 20221116 data  
green, 100, 4,  1, -3.28536096e-12, 4.01070048e-07, 9.99142431e-01, Ashley Baker 20221116 data  
green, 100, 4,  2, -6.50282526e-12, 4.82542378e-07, 9.98662116e-01, Ashley Baker 20221116 data  
green, 100, 4,  3, -3.74031736e-12, 4.77325094e-07, 9.99479273e-01, Ashley Baker 20221116 data
red,   200, 2,  L, -2.98115661e-12, 3.65402494e-07, 9.98843840e-01, Ashley Baker 20220612 data
red,   200, 2,  R, -3.32753653e-12, 3.79323910e-07, 9.98977203e-01, Ashley Baker 20220612 data
red,   400, 4, TL, -3.05651760e-12, 3.41471326e-07, 9.99918240e-01, Ashley Baker 20220616 data
red,   400, 4, TR, -4.08264616e-12, 3.84863109e-07, 9.99656467e-01, Ashley Baker 20220616 data
red,   400, 4, BL, -6.16264942e-12, 5.23452129e-07, 9.99144593e-01, Ashley Baker 20220616 data
red,   400, 4, BR, -6.32029024e-12, 6.06965795e-07, 9.99439345e-01, Ashley Baker 20220616 data
