idx	F9_espresso	G2_espresso	G8_espresso	G9_espresso	K2_espresso	K6_espresso	M2_espresso	sun	lfc	thar	etalon
0	0.307648555	0.283495588	0.294824798	0.28180766	0.2395022	0.246935302	0.02007465	0.062998322	1	1	1
1	0.304735663	0.360093113	0.355138203	0.348961398	0.302355992	0.315120994	0.033064344	0.097609921	1	1	1
2	0.556952834	0.553405183	0.539738842	0.532052993	0.447876846	0.470420634	0.052014892	0.17313227	1	1	1
3	0.444956353	0.472949562	0.463979229	0.493187013	0.425056702	0.456466391	0.08685582	0.172042583	1	1	1
4	0.456316762	0.473849249	0.496723114	0.500425596	0.42995356	0.464280958	0.113100101	0.2043902	1	1	1
5	0.451109244	0.554589831	0.518684995	0.563029903	0.489260997	0.513242242	0.12331726	0.241064495	1	1	1
6	0.426439812	0.520056166	0.492774214	0.541431718	0.449897712	0.476434647	0.126707168	0.250018052	1	1	1
7	0.485198045	0.560237307	0.534058218	0.566123014	0.477834618	0.509796418	0.121204569	0.292788986	1	1	1
8	0.483243262	0.550705232	0.541698997	0.565266142	0.506167621	0.538096699	0.123076825	0.316942327	1	1	1
9	0.451426771	0.530383344	0.551664377	0.578832591	0.491578811	0.529034603	0.154848573	0.339397315	1	1	1
10	0.382178387	0.50913597	0.506490195	0.539793378	0.483875554	0.52223128	0.172416006	0.336942588	1	1	1
11	0.616767985	0.662384409	0.663259991	0.69113469	0.598239053	0.642030673	0.176687468	0.47592068	1	1	1
12	0.576403968	0.659061264	0.634857894	0.62114864	0.541062588	0.583542887	0.253380555	0.473716424	1	1	1
13	0.594170371	0.588001989	0.633034037	0.632519717	0.567544608	0.613344118	0.270399694	0.491462458	1	1	1
14	0.853006835	0.936201214	0.899730215	0.92759557	0.797575695	0.841380788	0.328308518	0.761728201	1	1	1
15	0.889365725	0.903894403	0.929682049	1	0.946575381	0.983078283	0.314432353	0.808860561	1	1	1
16	0.664101202	0.781609092	0.764993931	0.829537049	0.925190674	0.942075016	0.347974305	0.685927913	1	1	1
17	0.750809	0.866930733	0.860857031	0.94543385	1	1	0.309212762	0.824444728	1	1	1
18	0.914048606	0.899177188	0.882588995	0.936904846	0.960032774	0.953049191	0.255166747	0.862853469	1	1	1
19	1	1	1	0.979301441	0.902044692	0.920071693	0.516763837	1	1	1	1
20	0.885099998	0.867295603	0.861799575	0.90277224	0.806964777	0.882882653	0.679170571	0.886990259	1	1	1
21	0.653477563	0.670561883	0.717905593	0.739357434	0.656841314	0.727431828	0.494034278	0.767547679	1	1	1
22	0.732228179	0.754558587	0.758415698	0.737075206	0.621998074	0.681070706	0.304176485	0.839460607	1	1	1
23	0.715742433	0.749689029	0.73573155	0.771651198	0.666412546	0.747022897	0.671542735	0.872200492	1	1	1
24	0.565488395	0.58758027	0.606134616	0.622265271	0.526124724	0.595488002	0.625443537	0.686488841	1	1	1
25	0.615936195	0.725924643	0.728389763	0.820884656	0.716883616	0.826957069	1	0.855854189	1	1	1
26	0.437099765	0.506457806	0.538037667	0.604085763	0.519235546	0.593808707	0.623910172	0.639493118	1	1	1
27	0.725294903	0.749712464	0.775034343	0.814475787	0.702242317	0.807333487	0.561968503	0.941422514	1	1	1
28	0.455399013	0.587687191	0.554288516	0.624490226	0.497359374	0.590367098	0.796943331	0.685558005	1	1	1
29	0.501928697	0.605694713	0.64567172	0.700880864	0.587441875	0.694670457	0.70370676	0.813784527	1	1	1
30	0.217769726	0.288811187	0.280954396	0.377338337	0.336066963	0.402591861	0.757479704	0.40393392	1	1	1
31	0.306912143	0.435554062	0.453156039	0.55568918	0.45385083	0.539835447	0.944792292	0.575346097	1	1	1
32	0.21979644	0.29401964	0.302841433	0.355746675	0.295935167	0.355209143	0.910750796	0.389712971	1	1	1
33	0	0	0	0	0	0	0	0	1	1	1
34	0	0	0	0	0	0	0.066060662	0	1	1	1
