idx	F9_espresso	G2_espresso	G8_espresso	G9_espresso	K2_espresso	K6_espresso	M2_espresso	sun	lfc	thar	etalon
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12	0.5708	0.6494	0.6384	0.6196	0.5435	0.5897	0.0781	0.4714	1.0000	1.0000	1.0000
13	0.5880	0.5813	0.6337	0.6316	0.5699	0.6170	0.0838	0.4885	1.0000	1.0000	1.0000
14	0.8477	0.9274	0.9034	0.9285	0.8011	0.8492	0.1052	0.7595	1.0000	1.0000	1.0000
15	0.8816	0.8975	0.9310	1.0000	0.9512	0.9894	0.0984	0.8062	1.0000	1.0000	1.0000
16	0.6582	0.7776	0.7660	0.8301	0.9285	0.9465	0.1029	0.6847	1.0000	1.0000	1.0000
17	0.7435	0.8580	0.8567	0.9468	1.0000	1.0000	0.0906	0.8177	1.0000	1.0000	1.0000
18	0.9108	0.8995	0.8830	0.9442	0.9647	0.9566	0.0771	0.8617	1.0000	1.0000	1.0000
19	1.0000	1.0000	1.0000	0.9864	0.9042	0.9227	0.1569	1.0000	1.0000	1.0000	1.0000
20	0.8767	0.8618	0.8538	0.9029	0.8033	0.8792	0.2017	0.8811	1.0000	1.0000	1.0000
21	0.6506	0.6696	0.7126	0.7443	0.6563	0.7236	0.1423	0.7636	1.0000	1.0000	1.0000
22	0.7290	0.7538	0.7516	0.7399	0.6193	0.6763	0.0821	0.8344	1.0000	1.0000	1.0000
23	0.7117	0.7432	0.7238	0.7721	0.6576	0.7287	0.1828	0.8615	1.0000	1.0000	1.0000
24	0.5649	0.5815	0.5913	0.6254	0.5163	0.5777	0.1720	0.6742	1.0000	1.0000	1.0000
25	0.6144	0.7201	0.7118	0.8253	0.7052	0.8101	0.3025	0.8419	1.0000	1.0000	1.0000
26	0.4354	0.5034	0.5244	0.6059	0.5100	0.5804	0.2324	0.6281	1.0000	1.0000	1.0000
27	0.7223	0.7463	0.7568	0.8150	0.6894	0.7903	0.1725	0.9277	1.0000	1.0000	1.0000
28	0.4566	0.5861	0.5425	0.6272	0.4898	0.5791	0.2516	0.6776	1.0000	1.0000	1.0000
29	0.5002	0.5991	0.6253	0.6995	0.5717	0.6745	0.2130	0.7973	1.0000	1.0000	1.0000
30	0.2183	0.2836	0.2707	0.3782	0.3255	0.3889	0.2180	0.3931	1.0000	1.0000	1.0000
31	0.3089	0.4359	0.4419	0.5584	0.4461	0.5279	0.2711	0.5681	1.0000	1.0000	1.0000
32	0.2201	0.2915	0.2919	0.3543	0.2853	0.3434	0.2961	0.3811	1.0000	1.0000	1.0000
33	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000
34	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0191	0.0000	1.0000	1.0000	1.0000
