idx	F9_espresso	G2_espresso	G8_espresso	G9_espresso	K2_espresso	K6_espresso	M2_espresso	sun	  lfc	  thar	  etalon
0	0.144628749	0.173485336	0.170643724	0.146884303	0.141812298	0.144335292	0.032467697	0.144775643	1	1	1
1	0.2492304	0.297346072	0.307383477	0.293598269	0.27571083	0.268936658	0.061438438	0.265254964	1	1	1
2	0.871770667	1	0.993135948	0.814131876	0.77409801	0.766507557	0.116477104	0.873801877	1	1	1
3	0.633301087	0.778685112	0.704166238	0.653708776	0.672320283	0.679402906	0.10309443	0.61685671	1	1	1
4	1	0.997145395	1	1	1	1	0.096271099	0.929048362	1	1	1
5	0.106527959	0.181140977	0.127034675	0.109071335	0.113962694	0.113750087	0.225288207	0.115344097	1	1	1
6	0.929824772	0.987724239	0.967095809	0.847384452	0.74565177	0.750036601	0.636619428	0.904443726	1	1	1
7	0.198582719	0.013368205	0.175921539	0.144251757	0.124110469	0.123691403	0.557670168	0.164265796	1	1	1
8	0	0	0	0	0	0	0	0	1	1	1
9	0.126637459	0.190206458	0.179508737	0.207484401	0.213324723	0.218001246	1	0.189909711	1	1	1
10	0.339058468	0.476675469	0.44734272	0.480332166	0.426966193	0.462300569	0.775235132	0.494647329	1	1	1
11	0.472243787	0.623166986	0.646609469	0.631043055	0.558909324	0.571793732	0.777856048	0.722736947	1	1	1
12	0.470867106	0.618960428	0.623977739	0.594987507	0.536941431	0.546189569	0.628671722	0.724391143	1	1	1
13	0	0	0	0	0	0	0	0	1	1	1
14	0	0	0	0	0	0	0	0	1	1	1
15	0	0	0	0	0	0	0	0	1	1	1
16	0	0	0	0	0	0	0	0	1	1	1
17	0	0	0	0	0	0	0	0	1	1	1
18	0	0	0	0	0	0	0	0	1	1	1
19	0.186907297	0.240856858	0.20407216	0.196833851	0.168531528	0.170495955	0	0.271862843	1	1	1
20	0.59572158	0.755476703	0.747632854	0.75358992	0.608686759	0.616767692	0	1	1	1	1
21	0.51828807	0.584309397	0.58459379	0.538465266	0.448981344	0.458314233	0	0.795193832	1	1	1
22	0	0	0	0	0	0	0	0	1	1	1
23	0.436872209	0.440325071	0.435171081	0.347326774	0.293218259	0.301010285	0	0.637217803	1	1	1
24	0.070660409	0.081678235	0.084050137	0.085215547	0.056600586	0.058342966	0	0.125429608	1	1	1
25	0	0	0	0	0	0	0	0	1	1	1
26	0	0	0	0	0	0	0	0	1	1	1
27	0	0	0	0	0	0	0	0	1	1	1
28	0	0	0	0	0	0	0	0	1	1	1
29	0	0	0	0	0	0	0	0	1	1	1
30	0	0	0	0	0	0	0	0	1	1	1
31	0	0	0	0	0	0	0	0	1	1	1
