keyword|datatype|description|unit
kpfmet.BENCH_BOTTOM_BETWEEN_CAMERAS|float|Bench bottom between cameras temp (sensor C2)|C
kpfmet.BENCH_BOTTOM_COLLIMATOR|float|Bench bottom collimator temp (sensor C3)|C
kpfmet.BENCH_BOTTOM_DCUT|float|Bench bottom D-cut temp (sensor C4)|C
kpfmet.BENCH_BOTTOM_ECHELLE|float|Bench bottom echelle Cam temp (sensor B)|C
kpfmet.BENCH_TOP_BETWEEN_CAMERAS|float|Bench top between cameras temp (sensor D4)|C
kpfmet.BENCH_TOP_COLL|float|Bench top collimator temp (sensor D5)|C
kpfmet.BENCH_TOP_DCUT|float|Bench top D-cut temp (sensor D3)|C
kpfmet.BENCH_TOP_ECHELLE_CAM|float|Bench top echelle Cam temp (sensor D1)|C
kpfmet.CALEM_SCMBLR_CHMBR_END|float|Cal EM scrambler chamber end temp (sensor C1)|C
kpfmet.CALEM_SCMBLR_FIBER_END|float|Cal EM scrambler fiber end temp (sensor D1)|C
kpfmet.CAL_BENCH|float|Cal bench temp|C
kpfmet.CAL_BENCH_BB_SRC|float|Cal bench blackbody source temp|C
kpfmet.CAL_BENCH_BOT|float|Cal bench bottom temp|C
kpfmet.CAL_BENCH_ENCL_AIR|float|Cal bench enclosure air temp|C
kpfmet.CAL_BENCH_OCT_MOT|float|Cal bench octagon motor temp|C
kpfmet.CAL_BENCH_TRANS_STG_MOT|float|Cal bench trans stage motor temp|C
kpfmet.CAL_RACK_TOP|float|Cal rack top temp|C
kpfmet.CHAMBER_EXT_BOTTOM|float|Chamber exterior Bottom temp (sensor B)|C
kpfmet.CHAMBER_EXT_TOP|float|Chamber exterior Top temp (sensor C1)|C
kpfmet.CRYOSTAT_G1|float|Within cryostat green temp (sensor D3)|C
kpfmet.CRYOSTAT_G2|float|Within cryostat green temp (sensor D3)|C
kpfmet.CRYOSTAT_G3|float|Within cryostat green temp (sensor D4)|C
kpfmet.CRYOSTAT_R1|float|Within Cryostat red temp (sensor D2)|C
kpfmet.CRYOSTAT_R2|float|Within Cryostat red temp (sensor D3)|C
