keyword|datatype|description|unit
DATE-MID|datetime|Halfway point of the exposure (unweighted)|None
DATE-BEG|datetime|Start of exposure (shutter open time)|None
DATE-END|datetime|End of exposure (shutter close time)|None
GRDATE-B|datetime|Green camera DATE-BEG|None
GRDATE-E|datetime|Green camera DATE-END|None
RDDATE-B|datetime|Red camera DATE-BEG|None
RDDATE-E|datetime|Red camera DATE-END|None
EMDATE-B|datetime|Exposure meter DATE-BEG|None
EMDATE-E|datetime|Exposure meter DATE-END|None
EXPTIME|float|Requested exposure time|sec
ELAPSED|float|Actual exposure time|sec
FRAMENO|int|Frame number|None
PROGNAME|string|Program name|None
HA|string|Hour angle|hr
EL|float|Telescope elevation|deg
AZ|float|Telescope azimuth|deg
OBJECT|string|Object name|None
AIRMASS|float|Airmass of target|None
OCTAGON|string|Calibration octagon source|None
IMTYPE|string|Image type|None
FFFB|string|Flat field fiber on (Yes/No)|None
GREEN|string|Green camera found (Yes/No)|None
RED|string|Red camera found (Yes/No)|None
CA_HK|string|Ca HK camera found (Yes/No)|None
EXPMETER|string|Exposure meter camera found (Yes/No)|None
GUIDE|string|Guide camera found (Yes/No)|None
CAL-OBJ|string|Cal fiber source|None
SKY-OBJ|string|Sky fiber source|None
SCI-OBJ|string|Science fiber source|None
AGITSTA|string|Agigator state (Running/Stopped)|None
FIUMODE|string|FIU operating mode - Observing = on-sky|None
ETAV1C1T|float|Etalon housing temp (Vescent 1 Channel 1)|C
ETAV1C2T|float|Etalon inner side shield temp (Vescent 1 Channel 2)|C
ETAV1C3T|float|Etalon inner bottom lid temp (Vescent 1 Channel 3)|C
ETAV1C4T|float|Etalon outer chamber temp (Vescent 1 Channel 4)|C
ETAV2C3T|float|Etalon inner top lid temp (Vescent 2 Channel 3)|C
ETAV1C1S|float|Etalon housing temp set point(Vescent 1 Channel 1)|C
ETAV1C2S|float|Etalon inner side shield temp set point(Vescent 1 Channel 2)|C
ETAV1C3S|float|Etalon inner bottom lid temp set point(Vescent 1 Channel 3)|C
ETAV1C4S|float|Etalon outer chamber temp set point(Vescent 1 Channel 4)|C
ETAV2C3S|float|Etalon inner top lid temp set point (Vescent 2 Channel 3)|C
WAVEBNS|string|Wavelengths of EM bins (string of four vals)|nm
TOTCNTS|string|Total EM counts in WAVEBINS|counts
TOTCORR|string|Total EM counts (corrected) in WAVEBINS|counts
USTHRSH|string|Was exposure meter thresholding used? (Yes/No)|None
THRSHLD|float|Threshold level|counts
THRSBIN|float|Threshold wavelength|nm
TARGNAME|string|KPF Target name|None
DCSNAME|string|DCS Target name - may not make any sense|None
TARGRA|string|DCS Target RA|hr
TARGDEC|string|DCS Target Dec|deg
TARGEPOC|float|DCS Target epoch|None
TARGEQUI|float|DCS Target equinox|None
TARGPLAX|float|Target parallax|as
TARGPMDC|float|Target proper motion dec|as/yr
TARGPMRA|float|Target proper motion ra|s/yr
TARGRADV|float|Target radial velocity|km/s
TARGWAVE|float|Target Wavelength|microns
TARGFRAM|string|Target frame|None
FULLTARG|string|Full Target name from kpfconfig|None
GAIAID|string|GAIA Target name from kpfconfig|None
2MASSID|string|2MASS Target name from kpfconfig|None
GAIAMAG|float|GAIA G band magnitude|mag
2MASSMAG|float|2MASS J band magnitude|mag
TARGTEFF|float|Target effective temp|K
RA|string|Right ascension|hr
DEC|string|Declination|deg
EQUINOX|float|DCS Equinox|None
MJD-OBS|float|Modified Julian day of the observation start|days
PTHDAY|float|Last ThAr Daily power meter measurement|Watts
PTHAU|float|Last ThAr Gold power meter measurement|Watts
PUDAY|float|Last UNe Daily power meter measurement|Watts
PUAU|float|Last UNe Gold power meter measurement|Watts
PLFC|float|Last LFC power meter measurement|Watts
PETAL|float|Last Etalon power meter measurement|Watts
PBRB|float|Last Broadband power meter measurement|Watts
PSOL|float|Last SoCal-CalFib power meter measurement|Watts
PTHDAYT|string|Time of last ThAr Daily power measurement|None
PTHAUT|string|Time of last ThAr Gold power measurement|None
PUDAYT|string|Time of last UNe Daily power measurement|None
PUAUT|string|Time of last UNe Gold power measurement|None
PLFCT|string|Time of last LFC power measurement|None
PETALT|string|Time of last Etalon power measurement|None
PBRBT|string|Time of last Broadband power measurement|None
PSOLT|string|Time of last SoCal-CalFib power measurement|None
TIMEERR|string|NTP time server response|None
VIGNETTE|bool|Dome vignetting|None
STVIGNE|bool|Top shutter vignetting|None
SBVIGNE|bool|Bottom shutter vignetting|None
SBELEV|float|Bottom shutter elevation|deg
STELEV|float|Top shutter elevation|deg
