keyword|datatype|description|unit
ETAV1C1T|float|Etalon housing temp (Vescent 1 Channel 1)|C
ETAV1C2T|float|Etalon inner side shield temp (Vescent 1 Channel 2)|C
ETAV1C3T|float|Etalon inner bottom lid temp (Vescent 1 Channel 3)|C
ETAV1C4T|float|Etalon outer chamber temp (Vescent 1 Channel 4)|C
ETAV2C3T|float|Etalon inner top lid temp (Vescent 2 Channel 3)|C
ETAV1C1S|float|Etalon housing temp set point(Vescent 1 Channel 1)|C
ETAV1C2S|float|Etalon inner side shield temp set point(Vescent 1 Channel 2)|C
ETAV1C3S|float|Etalon inner bottom lid temp set point(Vescent 1 Channel 3)|C
ETAV1C4S|float|Etalon outer chamber temp set point(Vescent 1 Channel 4)|C
ETAV2C3S|float|Etalon inner top lid temp set point (Vescent 2 Channel 3)|C
LFCMODE|string|LFC Operation Mode|None
AMPON|float|LFC: Amount of time amplifier on|sec               
LFCFO|float|LFC filtered Offset Freq RR Comb counted|Hz    
LFCFREF|float|LFC filtered Offset Freq RR Comb setpoint|Hz
LFCFR|float|LFC filtered Offset Freq RR Filter counted|Hz
LFCFRREF|float|LFC filtered Offset Freq RR Filter setpoint|Hz
LFCCEOFR|float|LFC CEO Filtered Setpoint Freq|Hz               
LFCCWFRF|float|LFC CW Freq Reference|Hz
LFCCWFRQ|float|LFC CW Freq|Hz
LFCCWFER|float|LFC CW Freq Error: Ref-Actual|Hz
LFCCWMDN|float|LFC CW mode number|none
LFCBIACT|float|LFC Blue cut amp diode current|A
LFCBISET|float|LFC Blue cut amp diode setting|A
PTHDAY|float|Last ThAr Daily power meter measurement|Watts
PTHAU|float|Last ThAr Gold power meter measurement|Watts
PUDAY|float|Last UNe Daily power meter measurement|Watts
PUAU|float|Last UNe Gold power meter measurement|Watts
PLFC|float|Last LFC power meter measurement|Watts
PETAL|float|Last Etalon power meter measurement|Watts
PBRB|float|Last Broadband power meter measurement|Watts
PSOL|float|Last SoCal-CalFib power meter measurement|Watts
PTHDAYT|string|Time of last ThAr Daily power measurement|None
PTHAUT|string|Time of last ThAr Gold power measurement|None
PUDAYT|string|Time of last UNe Daily power measurement|None
PUAUT|string|Time of last UNe Gold power measurement|None
PLFCT|string|Time of last LFC power measurement|None
PETALT|string|Time of last Etalon power measurement|None
PBRBT|string|Time of last Broadband power measurement|None
PSOLT|string|Time of last SoCal-CalFib power measurement|None
