keyword|datatype|description|unit
OCTAGON|string|Calibration octagon source|None
TRIGTARG|string|Cameras that were sent triggers|None
SRCSHTTR|string|Source shutters commanded|None
TIMSHTTR|string|Timed shutters commanded|None
OTIMSHTR|string|Timed shutters open exp. midpoint|None
SCISEL|bool|Science Select shutter at exp. midpoint|None
SKYSEL|bool|Sky Select Shutter at exp. midpoint|None
FFSHTR|bool|Flat field fiber shutter at exp. midpoint|None
SCRAMSHT|bool|Scrambler shutter at exp. midpoint|None
SIMCALSH|bool|Simult Cal shutter at exp. midpoint|None
CAHKSHT|bool|CaHK shutter at exp. midpoint|None
SOLSCISH|bool|SoCal Sci shutter at exp. midpoint|None
SOLCALSH|bool|SoCal Cal shutter at exp. midpoint|None
CALSSSHT|bool|Cal SciSky shutter at exp. midpoint|None
SSCALFW|string|Science/Cal filter wheel position|None
SIMCALFW|string|Simualcal filter wheel position|None                    
AOHATCH|bool|AO hatch at exp. midpoint|None
FIUHTCH|bool|FIU hatch at exp. midpoint|None
FFFB|string|Flat field fiber on (Yes/No)|None
GREEN|bool|Green camera found (Yes/No)|None
RED|bool|Red camera found (Yes/No)|None
CA_HK|bool|Ca HK camera found (Yes/No)|None
EXPMETER|bool|Exposure meter camera found (Yes/No)|None
GUIDE|bool|Guide camera found (Yes/No)|None
CAL-OBJ|string|Cal fiber source|None
SKY-OBJ|string|Sky fiber source|None
SCI-OBJ|string|Science fiber source|None
AGITSTA|string|Agigator state (Running/Stopped)|None
VIGNETTE|bool|Dome vignetting|None
STVIGNE|bool|Top shutter vignetting|None
SBVIGNE|bool|Bottom shutter vignetting|None
SBELEV|float|Bottom shutter elevation|deg
STELEV|float|Top shutter elevation|deg
