keyword|datatype|description|unit
LFCLGS0|int|Min Green SCI order with good LFC lines|None
LFCLGS1|int|Max Green SCI order with good LFC lines|None
LFCLGC0|int|Min Green CAL order with good LFC lines|None
LFCLGC1|int|Max Green CAL order with good LFC lines|None
LFCLGK0|int|Min Green SKY order with good LFC lines|None
LFCLGK1|int|Max Green SKY order with good LFC lines|None
LFCLRS0|int|Min Red SCI order with good LFC lines|None
LFCLRS1|int|Max Red SCI order with good LFC lines|None
LFCLRC0|int|Min Red CAL order with good LFC lines|None
LFCLRC1|int|Max Red CAL order with good LFC lines|None
LFCLRK0|int|Min Red SKY order with good LFC lines|None
LFCLRK1|int|Max Red SKY order with good LFC lines|None
ETALGS0|int|Min Green SCI order with good Etalon lines|None
ETALGS1|int|Max Green SCI order with good Etalon lines|None
ETALGC0|int|Min Green CAL order with good Etalon lines|None
ETALGC1|int|Max Green CAL order with good Etalon lines|None
ETALGK0|int|Min Green SKY order with good Etalon lines|None
ETALGK1|int|Max Green SKY order with good Etalon lines|None
ETALRS0|int|Min Red SCI order with good Etalon lines|None
ETALRS1|int|Max Red SCI order with good Etalon lines|None
ETALRC0|int|Min Red CAL order with good Etalon lines|None
ETALRC1|int|Max Red CAL order with good Etalon lines|None
ETALRK0|int|Min Red SKY order with good Etalon lines|None
ETALRK1|int|Max Red SKY order with good Etalon lines|None
NSATGS2|float|Number of saturated lines in Green SCI2|None
NSATGC|float|Number of saturated lines in Green CAL|None
NSATGK|float|Number of saturated lines in Green SKY|None
NSATRS2|float|Number of saturated lines in Red SCI2|None
NSATRC|float|Number of saturated lines in Red CAL|None
NSATRK|float|Number of saturated lines in Red SKY|None
