keyword|datatype|description|unit
MEDWGS00|float|median(WLS-ref) [pix], Green SCI order 00|pixels
MEDWGS01|float|median(WLS-ref) [pix], Green SCI order 01|pixels
MEDWGS02|float|median(WLS-ref) [pix], Green SCI order 02|pixels
MEDWGS03|float|median(WLS-ref) [pix], Green SCI order 03|pixels
MEDWGS04|float|median(WLS-ref) [pix], Green SCI order 04|pixels
MEDWGS05|float|median(WLS-ref) [pix], Green SCI order 05|pixels
MEDWGS06|float|median(WLS-ref) [pix], Green SCI order 06|pixels
MEDWGS07|float|median(WLS-ref) [pix], Green SCI order 07|pixels
MEDWGS08|float|median(WLS-ref) [pix], Green SCI order 08|pixels
MEDWGS09|float|median(WLS-ref) [pix], Green SCI order 09|pixels
MEDWGS10|float|median(WLS-ref) [pix], Green SCI order 10|pixels
MEDWGS11|float|median(WLS-ref) [pix], Green SCI order 11|pixels
MEDWGS12|float|median(WLS-ref) [pix], Green SCI order 12|pixels
MEDWGS13|float|median(WLS-ref) [pix], Green SCI order 13|pixels
MEDWGS14|float|median(WLS-ref) [pix], Green SCI order 14|pixels
MEDWGS15|float|median(WLS-ref) [pix], Green SCI order 15|pixels
MEDWGS16|float|median(WLS-ref) [pix], Green SCI order 16|pixels
MEDWGS17|float|median(WLS-ref) [pix], Green SCI order 17|pixels
MEDWGS18|float|median(WLS-ref) [pix], Green SCI order 18|pixels
MEDWGS19|float|median(WLS-ref) [pix], Green SCI order 19|pixels
MEDWGS20|float|median(WLS-ref) [pix], Green SCI order 20|pixels
MEDWGS21|float|median(WLS-ref) [pix], Green SCI order 21|pixels
MEDWGS22|float|median(WLS-ref) [pix], Green SCI order 22|pixels
MEDWGS23|float|median(WLS-ref) [pix], Green SCI order 23|pixels
MEDWGS24|float|median(WLS-ref) [pix], Green SCI order 24|pixels
MEDWGS25|float|median(WLS-ref) [pix], Green SCI order 25|pixels
MEDWGS26|float|median(WLS-ref) [pix], Green SCI order 26|pixels
MEDWGS27|float|median(WLS-ref) [pix], Green SCI order 27|pixels
MEDWGS28|float|median(WLS-ref) [pix], Green SCI order 28|pixels
MEDWGS29|float|median(WLS-ref) [pix], Green SCI order 29|pixels
MEDWGS30|float|median(WLS-ref) [pix], Green SCI order 30|pixels
MEDWGS31|float|median(WLS-ref) [pix], Green SCI order 31|pixels
MEDWGS32|float|median(WLS-ref) [pix], Green SCI order 32|pixels
MEDWGS33|float|median(WLS-ref) [pix], Green SCI order 33|pixels
MEDWGS34|float|median(WLS-ref) [pix], Green SCI order 34|pixels
MEDWGK00|float|median(WLS-ref) [pix], Green SKY order 00|pixels
MEDWGK01|float|median(WLS-ref) [pix], Green SKY order 01|pixels
MEDWGK02|float|median(WLS-ref) [pix], Green SKY order 02|pixels
MEDWGK03|float|median(WLS-ref) [pix], Green SKY order 03|pixels
MEDWGK04|float|median(WLS-ref) [pix], Green SKY order 04|pixels
MEDWGK05|float|median(WLS-ref) [pix], Green SKY order 05|pixels
MEDWGK06|float|median(WLS-ref) [pix], Green SKY order 06|pixels
MEDWGK07|float|median(WLS-ref) [pix], Green SKY order 07|pixels
MEDWGK08|float|median(WLS-ref) [pix], Green SKY order 08|pixels
MEDWGK09|float|median(WLS-ref) [pix], Green SKY order 09|pixels
MEDWGK10|float|median(WLS-ref) [pix], Green SKY order 10|pixels
MEDWGK11|float|median(WLS-ref) [pix], Green SKY order 11|pixels
MEDWGK12|float|median(WLS-ref) [pix], Green SKY order 12|pixels
MEDWGK13|float|median(WLS-ref) [pix], Green SKY order 13|pixels
MEDWGK14|float|median(WLS-ref) [pix], Green SKY order 14|pixels
MEDWGK15|float|median(WLS-ref) [pix], Green SKY order 15|pixels
MEDWGK16|float|median(WLS-ref) [pix], Green SKY order 16|pixels
MEDWGK17|float|median(WLS-ref) [pix], Green SKY order 17|pixels
MEDWGK18|float|median(WLS-ref) [pix], Green SKY order 18|pixels
MEDWGK19|float|median(WLS-ref) [pix], Green SKY order 19|pixels
MEDWGK20|float|median(WLS-ref) [pix], Green SKY order 20|pixels
MEDWGK21|float|median(WLS-ref) [pix], Green SKY order 21|pixels
MEDWGK22|float|median(WLS-ref) [pix], Green SKY order 22|pixels
MEDWGK23|float|median(WLS-ref) [pix], Green SKY order 23|pixels
MEDWGK24|float|median(WLS-ref) [pix], Green SKY order 24|pixels
MEDWGK25|float|median(WLS-ref) [pix], Green SKY order 25|pixels
MEDWGK26|float|median(WLS-ref) [pix], Green SKY order 26|pixels
MEDWGK27|float|median(WLS-ref) [pix], Green SKY order 27|pixels
MEDWGK28|float|median(WLS-ref) [pix], Green SKY order 28|pixels
MEDWGK29|float|median(WLS-ref) [pix], Green SKY order 29|pixels
MEDWGK30|float|median(WLS-ref) [pix], Green SKY order 30|pixels
MEDWGK31|float|median(WLS-ref) [pix], Green SKY order 31|pixels
MEDWGK32|float|median(WLS-ref) [pix], Green SKY order 32|pixels
MEDWGK33|float|median(WLS-ref) [pix], Green SKY order 33|pixels
MEDWGK34|float|median(WLS-ref) [pix], Green SKY order 34|pixels
MEDWGC00|float|median(WLS-ref) [pix], Green CAL order 00|pixels
MEDWGC01|float|median(WLS-ref) [pix], Green CAL order 01|pixels
MEDWGC02|float|median(WLS-ref) [pix], Green CAL order 02|pixels
MEDWGC03|float|median(WLS-ref) [pix], Green CAL order 03|pixels
MEDWGC04|float|median(WLS-ref) [pix], Green CAL order 04|pixels
MEDWGC05|float|median(WLS-ref) [pix], Green CAL order 05|pixels
MEDWGC06|float|median(WLS-ref) [pix], Green CAL order 06|pixels
MEDWGC07|float|median(WLS-ref) [pix], Green CAL order 07|pixels
MEDWGC08|float|median(WLS-ref) [pix], Green CAL order 08|pixels
MEDWGC09|float|median(WLS-ref) [pix], Green CAL order 09|pixels
MEDWGC10|float|median(WLS-ref) [pix], Green CAL order 10|pixels
MEDWGC11|float|median(WLS-ref) [pix], Green CAL order 11|pixels
MEDWGC12|float|median(WLS-ref) [pix], Green CAL order 12|pixels
MEDWGC13|float|median(WLS-ref) [pix], Green CAL order 13|pixels
MEDWGC14|float|median(WLS-ref) [pix], Green CAL order 14|pixels
MEDWGC15|float|median(WLS-ref) [pix], Green CAL order 15|pixels
MEDWGC16|float|median(WLS-ref) [pix], Green CAL order 16|pixels
MEDWGC17|float|median(WLS-ref) [pix], Green CAL order 17|pixels
MEDWGC18|float|median(WLS-ref) [pix], Green CAL order 18|pixels
MEDWGC19|float|median(WLS-ref) [pix], Green CAL order 19|pixels
MEDWGC20|float|median(WLS-ref) [pix], Green CAL order 20|pixels
MEDWGC21|float|median(WLS-ref) [pix], Green CAL order 21|pixels
MEDWGC22|float|median(WLS-ref) [pix], Green CAL order 22|pixels
MEDWGC23|float|median(WLS-ref) [pix], Green CAL order 23|pixels
MEDWGC24|float|median(WLS-ref) [pix], Green CAL order 24|pixels
MEDWGC25|float|median(WLS-ref) [pix], Green CAL order 25|pixels
MEDWGC26|float|median(WLS-ref) [pix], Green CAL order 26|pixels
MEDWGC27|float|median(WLS-ref) [pix], Green CAL order 27|pixels
MEDWGC28|float|median(WLS-ref) [pix], Green CAL order 28|pixels
MEDWGC29|float|median(WLS-ref) [pix], Green CAL order 29|pixels
MEDWGC30|float|median(WLS-ref) [pix], Green CAL order 30|pixels
MEDWGC31|float|median(WLS-ref) [pix], Green CAL order 31|pixels
MEDWGC32|float|median(WLS-ref) [pix], Green CAL order 32|pixels
MEDWGC33|float|median(WLS-ref) [pix], Green CAL order 33|pixels
MEDWGC34|float|median(WLS-ref) [pix], Green CAL order 34|pixels
