keyword|datatype|description|unit
MEDWRS00|float|median(WLS-ref) [pix], Red SCI order 00|pixels
MEDWRS01|float|median(WLS-ref) [pix], Red SCI order 01|pixels
MEDWRS02|float|median(WLS-ref) [pix], Red SCI order 02|pixels
MEDWRS03|float|median(WLS-ref) [pix], Red SCI order 03|pixels
MEDWRS04|float|median(WLS-ref) [pix], Red SCI order 04|pixels
MEDWRS05|float|median(WLS-ref) [pix], Red SCI order 05|pixels
MEDWRS06|float|median(WLS-ref) [pix], Red SCI order 06|pixels
MEDWRS07|float|median(WLS-ref) [pix], Red SCI order 07|pixels
MEDWRS08|float|median(WLS-ref) [pix], Red SCI order 08|pixels
MEDWRS09|float|median(WLS-ref) [pix], Red SCI order 09|pixels
MEDWRS10|float|median(WLS-ref) [pix], Red SCI order 10|pixels
MEDWRS11|float|median(WLS-ref) [pix], Red SCI order 11|pixels
MEDWRS12|float|median(WLS-ref) [pix], Red SCI order 12|pixels
MEDWRS13|float|median(WLS-ref) [pix], Red SCI order 13|pixels
MEDWRS14|float|median(WLS-ref) [pix], Red SCI order 14|pixels
MEDWRS15|float|median(WLS-ref) [pix], Red SCI order 15|pixels
MEDWRS16|float|median(WLS-ref) [pix], Red SCI order 16|pixels
MEDWRS17|float|median(WLS-ref) [pix], Red SCI order 17|pixels
MEDWRS18|float|median(WLS-ref) [pix], Red SCI order 18|pixels
MEDWRS19|float|median(WLS-ref) [pix], Red SCI order 19|pixels
MEDWRS20|float|median(WLS-ref) [pix], Red SCI order 20|pixels
MEDWRS21|float|median(WLS-ref) [pix], Red SCI order 21|pixels
MEDWRS22|float|median(WLS-ref) [pix], Red SCI order 22|pixels
MEDWRS23|float|median(WLS-ref) [pix], Red SCI order 23|pixels
MEDWRS24|float|median(WLS-ref) [pix], Red SCI order 24|pixels
MEDWRS25|float|median(WLS-ref) [pix], Red SCI order 25|pixels
MEDWRS26|float|median(WLS-ref) [pix], Red SCI order 26|pixels
MEDWRS27|float|median(WLS-ref) [pix], Red SCI order 27|pixels
MEDWRS28|float|median(WLS-ref) [pix], Red SCI order 28|pixels
MEDWRS29|float|median(WLS-ref) [pix], Red SCI order 29|pixels
MEDWRS30|float|median(WLS-ref) [pix], Red SCI order 30|pixels
MEDWRS31|float|median(WLS-ref) [pix], Red SCI order 31|pixels
MEDWRK00|float|median(WLS-ref) [pix], Red SKY order 00|pixels
MEDWRK01|float|median(WLS-ref) [pix], Red SKY order 01|pixels
MEDWRK02|float|median(WLS-ref) [pix], Red SKY order 02|pixels
MEDWRK03|float|median(WLS-ref) [pix], Red SKY order 03|pixels
MEDWRK04|float|median(WLS-ref) [pix], Red SKY order 04|pixels
MEDWRK05|float|median(WLS-ref) [pix], Red SKY order 05|pixels
MEDWRK06|float|median(WLS-ref) [pix], Red SKY order 06|pixels
MEDWRK07|float|median(WLS-ref) [pix], Red SKY order 07|pixels
MEDWRK08|float|median(WLS-ref) [pix], Red SKY order 08|pixels
MEDWRK09|float|median(WLS-ref) [pix], Red SKY order 09|pixels
MEDWRK10|float|median(WLS-ref) [pix], Red SKY order 10|pixels
