keyword|datatype|description|unit
STDWGS00|float|stddev(WLS-ref) [pix], Green SCI order 00|pixels
STDWGS01|float|stddev(WLS-ref) [pix], Green SCI order 01|pixels
STDWGS02|float|stddev(WLS-ref) [pix], Green SCI order 02|pixels
STDWGS03|float|stddev(WLS-ref) [pix], Green SCI order 03|pixels
STDWGS04|float|stddev(WLS-ref) [pix], Green SCI order 04|pixels
STDWGS05|float|stddev(WLS-ref) [pix], Green SCI order 05|pixels
STDWGS06|float|stddev(WLS-ref) [pix], Green SCI order 06|pixels
STDWGS07|float|stddev(WLS-ref) [pix], Green SCI order 07|pixels
STDWGS08|float|stddev(WLS-ref) [pix], Green SCI order 08|pixels
STDWGS09|float|stddev(WLS-ref) [pix], Green SCI order 09|pixels
STDWGS10|float|stddev(WLS-ref) [pix], Green SCI order 10|pixels
STDWGS11|float|stddev(WLS-ref) [pix], Green SCI order 11|pixels
STDWGS12|float|stddev(WLS-ref) [pix], Green SCI order 12|pixels
STDWGS13|float|stddev(WLS-ref) [pix], Green SCI order 13|pixels
STDWGS14|float|stddev(WLS-ref) [pix], Green SCI order 14|pixels
STDWGS15|float|stddev(WLS-ref) [pix], Green SCI order 15|pixels
STDWGS16|float|stddev(WLS-ref) [pix], Green SCI order 16|pixels
STDWGS17|float|stddev(WLS-ref) [pix], Green SCI order 17|pixels
STDWGS18|float|stddev(WLS-ref) [pix], Green SCI order 18|pixels
STDWGS19|float|stddev(WLS-ref) [pix], Green SCI order 19|pixels
STDWGS20|float|stddev(WLS-ref) [pix], Green SCI order 20|pixels
STDWGS21|float|stddev(WLS-ref) [pix], Green SCI order 21|pixels
STDWGS22|float|stddev(WLS-ref) [pix], Green SCI order 22|pixels
STDWGS23|float|stddev(WLS-ref) [pix], Green SCI order 23|pixels
STDWGS24|float|stddev(WLS-ref) [pix], Green SCI order 24|pixels
STDWGS25|float|stddev(WLS-ref) [pix], Green SCI order 25|pixels
STDWGS26|float|stddev(WLS-ref) [pix], Green SCI order 26|pixels
STDWGS27|float|stddev(WLS-ref) [pix], Green SCI order 27|pixels
STDWGS28|float|stddev(WLS-ref) [pix], Green SCI order 28|pixels
STDWGS29|float|stddev(WLS-ref) [pix], Green SCI order 29|pixels
STDWGS30|float|stddev(WLS-ref) [pix], Green SCI order 30|pixels
