keyword|datatype|description|unit
STDWRS00|float|stddev(WLS-ref) [pix], Red SCI order 00|pixels
STDWRS01|float|stddev(WLS-ref) [pix], Red SCI order 01|pixels
STDWRS02|float|stddev(WLS-ref) [pix], Red SCI order 02|pixels
STDWRS03|float|stddev(WLS-ref) [pix], Red SCI order 03|pixels
STDWRS04|float|stddev(WLS-ref) [pix], Red SCI order 04|pixels
STDWRS05|float|stddev(WLS-ref) [pix], Red SCI order 05|pixels
STDWRS06|float|stddev(WLS-ref) [pix], Red SCI order 06|pixels
STDWRS07|float|stddev(WLS-ref) [pix], Red SCI order 07|pixels
STDWRS08|float|stddev(WLS-ref) [pix], Red SCI order 08|pixels
STDWRS09|float|stddev(WLS-ref) [pix], Red SCI order 09|pixels
STDWRS10|float|stddev(WLS-ref) [pix], Red SCI order 10|pixels
STDWRS11|float|stddev(WLS-ref) [pix], Red SCI order 11|pixels
STDWRS12|float|stddev(WLS-ref) [pix], Red SCI order 12|pixels
STDWRS13|float|stddev(WLS-ref) [pix], Red SCI order 13|pixels
STDWRS14|float|stddev(WLS-ref) [pix], Red SCI order 14|pixels
STDWRS15|float|stddev(WLS-ref) [pix], Red SCI order 15|pixels
STDWRS16|float|stddev(WLS-ref) [pix], Red SCI order 16|pixels
STDWRS17|float|stddev(WLS-ref) [pix], Red SCI order 17|pixels
STDWRS18|float|stddev(WLS-ref) [pix], Red SCI order 18|pixels
STDWRS19|float|stddev(WLS-ref) [pix], Red SCI order 19|pixels
STDWRS20|float|stddev(WLS-ref) [pix], Red SCI order 20|pixels
STDWRS21|float|stddev(WLS-ref) [pix], Red SCI order 21|pixels
STDWRS22|float|stddev(WLS-ref) [pix], Red SCI order 22|pixels
STDWRS23|float|stddev(WLS-ref) [pix], Red SCI order 23|pixels
STDWRS24|float|stddev(WLS-ref) [pix], Red SCI order 24|pixels
STDWRS25|float|stddev(WLS-ref) [pix], Red SCI order 25|pixels
STDWRS26|float|stddev(WLS-ref) [pix], Red SCI order 26|pixels
STDWRS27|float|stddev(WLS-ref) [pix], Red SCI order 27|pixels
STDWRS28|float|stddev(WLS-ref) [pix], Red SCI order 28|pixels
STDWRS29|float|stddev(WLS-ref) [pix], Red SCI order 29|pixels
STDWRS30|float|stddev(WLS-ref) [pix], Red SCI order 30|pixels
STDWRS31|float|stddev(WLS-ref) [pix], Red SCI order 31|pixels
STDWRK00|float|stddev(WLS-ref) [pix], Red SKY order 00|pixels
STDWRK01|float|stddev(WLS-ref) [pix], Red SKY order 01|pixels
STDWRK02|float|stddev(WLS-ref) [pix], Red SKY order 02|pixels
STDWRK03|float|stddev(WLS-ref) [pix], Red SKY order 03|pixels
STDWRK04|float|stddev(WLS-ref) [pix], Red SKY order 04|pixels
STDWRK05|float|stddev(WLS-ref) [pix], Red SKY order 05|pixels
STDWRK06|float|stddev(WLS-ref) [pix], Red SKY order 06|pixels
STDWRK07|float|stddev(WLS-ref) [pix], Red SKY order 07|pixels
STDWRK08|float|stddev(WLS-ref) [pix], Red SKY order 08|pixels
STDWRK09|float|stddev(WLS-ref) [pix], Red SKY order 09|pixels
STDWRK10|float|stddev(WLS-ref) [pix], Red SKY order 10|pixels
STDWRK11|float|stddev(WLS-ref) [pix], Red SKY order 11|pixels
STDWRK12|float|stddev(WLS-ref) [pix], Red SKY order 12|pixels
