keyword|datatype|description|unit
ERVC00|float|Error in RV for CAL order 00|km/s
ERVC01|float|Error in RV for CAL order 01|km/s
ERVC02|float|Error in RV for CAL order 02|km/s
ERVC03|float|Error in RV for CAL order 03|km/s
ERVC04|float|Error in RV for CAL order 04|km/s
ERVC05|float|Error in RV for CAL order 05|km/s
ERVC06|float|Error in RV for CAL order 06|km/s
ERVC07|float|Error in RV for CAL order 07|km/s
ERVC08|float|Error in RV for CAL order 08|km/s
ERVC09|float|Error in RV for CAL order 09|km/s
ERVC10|float|Error in RV for CAL order 10|km/s
ERVC11|float|Error in RV for CAL order 11|km/s
ERVC12|float|Error in RV for CAL order 12|km/s
ERVC13|float|Error in RV for CAL order 13|km/s
ERVC14|float|Error in RV for CAL order 14|km/s
ERVC15|float|Error in RV for CAL order 15|km/s
ERVC16|float|Error in RV for CAL order 16|km/s
ERVC17|float|Error in RV for CAL order 17|km/s
ERVC18|float|Error in RV for CAL order 18|km/s
ERVC19|float|Error in RV for CAL order 19|km/s
ERVC20|float|Error in RV for CAL order 20|km/s
ERVC21|float|Error in RV for CAL order 21|km/s
ERVC22|float|Error in RV for CAL order 22|km/s
ERVC23|float|Error in RV for CAL order 23|km/s
ERVC24|float|Error in RV for CAL order 24|km/s
ERVC25|float|Error in RV for CAL order 25|km/s
ERVC26|float|Error in RV for CAL order 26|km/s
ERVC27|float|Error in RV for CAL order 27|km/s
ERVC28|float|Error in RV for CAL order 28|km/s
ERVC29|float|Error in RV for CAL order 29|km/s
ERVC30|float|Error in RV for CAL order 30|km/s
ERVC31|float|Error in RV for CAL order 31|km/s
ERVC32|float|Error in RV for CAL order 32|km/s
ERVC33|float|Error in RV for CAL order 33|km/s
ERVC34|float|Error in RV for CAL order 34|km/s
ERVC35|float|Error in RV for CAL order 35|km/s
ERVC36|float|Error in RV for CAL order 36|km/s
ERVC37|float|Error in RV for CAL order 37|km/s
ERVC38|float|Error in RV for CAL order 38|km/s
ERVC39|float|Error in RV for CAL order 39|km/s
ERVC40|float|Error in RV for CAL order 40|km/s
ERVC41|float|Error in RV for CAL order 41|km/s
ERVC42|float|Error in RV for CAL order 42|km/s
ERVC43|float|Error in RV for CAL order 43|km/s
ERVC44|float|Error in RV for CAL order 44|km/s
ERVC45|float|Error in RV for CAL order 45|km/s
ERVC46|float|Error in RV for CAL order 46|km/s
ERVC47|float|Error in RV for CAL order 47|km/s
ERVC48|float|Error in RV for CAL order 48|km/s
ERVC49|float|Error in RV for CAL order 49|km/s
ERVC50|float|Error in RV for CAL order 50|km/s
ERVC51|float|Error in RV for CAL order 51|km/s
ERVC52|float|Error in RV for CAL order 52|km/s
ERVC53|float|Error in RV for CAL order 53|km/s
ERVC54|float|Error in RV for CAL order 54|km/s
ERVC55|float|Error in RV for CAL order 55|km/s
ERVC56|float|Error in RV for CAL order 56|km/s
ERVC57|float|Error in RV for CAL order 57|km/s
ERVC58|float|Error in RV for CAL order 58|km/s
ERVC59|float|Error in RV for CAL order 59|km/s
ERVC60|float|Error in RV for CAL order 60|km/s
ERVC61|float|Error in RV for CAL order 61|km/s
ERVC62|float|Error in RV for CAL order 62|km/s
ERVC63|float|Error in RV for CAL order 63|km/s
ERVC64|float|Error in RV for CAL order 64|km/s
ERVC65|float|Error in RV for CAL order 65|km/s
ERVC66|float|Error in RV for CAL order 66|km/s
