keyword|datatype|description|unit
BCRV00|float|Barycentric RV for order 00|km/s
BCRV01|float|Barycentric RV for order 01|km/s
BCRV02|float|Barycentric RV for order 02|km/s
BCRV03|float|Barycentric RV for order 03|km/s
BCRV04|float|Barycentric RV for order 04|km/s
BCRV05|float|Barycentric RV for order 05|km/s
BCRV06|float|Barycentric RV for order 06|km/s
BCRV07|float|Barycentric RV for order 07|km/s
BCRV08|float|Barycentric RV for order 08|km/s
BCRV09|float|Barycentric RV for order 09|km/s
BCRV10|float|Barycentric RV for order 10|km/s
BCRV11|float|Barycentric RV for order 11|km/s
BCRV12|float|Barycentric RV for order 12|km/s
BCRV13|float|Barycentric RV for order 13|km/s
BCRV14|float|Barycentric RV for order 14|km/s
BCRV15|float|Barycentric RV for order 15|km/s
BCRV16|float|Barycentric RV for order 16|km/s
BCRV17|float|Barycentric RV for order 17|km/s
BCRV18|float|Barycentric RV for order 18|km/s
BCRV19|float|Barycentric RV for order 19|km/s
BCRV20|float|Barycentric RV for order 20|km/s
BCRV21|float|Barycentric RV for order 21|km/s
BCRV22|float|Barycentric RV for order 22|km/s
BCRV23|float|Barycentric RV for order 23|km/s
BCRV24|float|Barycentric RV for order 24|km/s
BCRV25|float|Barycentric RV for order 25|km/s
BCRV26|float|Barycentric RV for order 26|km/s
BCRV27|float|Barycentric RV for order 27|km/s
BCRV28|float|Barycentric RV for order 28|km/s
BCRV29|float|Barycentric RV for order 29|km/s
BCRV30|float|Barycentric RV for order 30|km/s
BCRV31|float|Barycentric RV for order 31|km/s
BCRV32|float|Barycentric RV for order 32|km/s
BCRV33|float|Barycentric RV for order 33|km/s
BCRV34|float|Barycentric RV for order 34|km/s
BCRV35|float|Barycentric RV for order 35|km/s
BCRV36|float|Barycentric RV for order 36|km/s
BCRV37|float|Barycentric RV for order 37|km/s
BCRV38|float|Barycentric RV for order 38|km/s
BCRV39|float|Barycentric RV for order 39|km/s
BCRV40|float|Barycentric RV for order 40|km/s
BCRV41|float|Barycentric RV for order 41|km/s
BCRV42|float|Barycentric RV for order 42|km/s
BCRV43|float|Barycentric RV for order 43|km/s
BCRV44|float|Barycentric RV for order 44|km/s
BCRV45|float|Barycentric RV for order 45|km/s
BCRV46|float|Barycentric RV for order 46|km/s
BCRV47|float|Barycentric RV for order 47|km/s
BCRV48|float|Barycentric RV for order 48|km/s
BCRV49|float|Barycentric RV for order 49|km/s
BCRV50|float|Barycentric RV for order 50|km/s
BCRV51|float|Barycentric RV for order 51|km/s
BCRV52|float|Barycentric RV for order 52|km/s
BCRV53|float|Barycentric RV for order 53|km/s
BCRV54|float|Barycentric RV for order 54|km/s
BCRV55|float|Barycentric RV for order 55|km/s
BCRV56|float|Barycentric RV for order 56|km/s
BCRV57|float|Barycentric RV for order 57|km/s
BCRV58|float|Barycentric RV for order 58|km/s
BCRV59|float|Barycentric RV for order 59|km/s
BCRV60|float|Barycentric RV for order 60|km/s
BCRV61|float|Barycentric RV for order 61|km/s
BCRV62|float|Barycentric RV for order 62|km/s
BCRV63|float|Barycentric RV for order 63|km/s
BCRV64|float|Barycentric RV for order 64|km/s
BCRV65|float|Barycentric RV for order 65|km/s
BCRV66|float|Barycentric RV for order 66|km/s
