keyword|datatype|description|unit
CCFBJD00|float|BJD for order 00|days
CCFBJD01|float|BJD for order 01|days
CCFBJD02|float|BJD for order 02|days
CCFBJD03|float|BJD for order 03|days
CCFBJD04|float|BJD for order 04|days
CCFBJD05|float|BJD for order 05|days
CCFBJD06|float|BJD for order 06|days
CCFBJD07|float|BJD for order 07|days
CCFBJD08|float|BJD for order 08|days
CCFBJD09|float|BJD for order 09|days
CCFBJD10|float|BJD for order 10|days
CCFBJD11|float|BJD for order 11|days
CCFBJD12|float|BJD for order 12|days
CCFBJD13|float|BJD for order 13|days
CCFBJD14|float|BJD for order 14|days
CCFBJD15|float|BJD for order 15|days
CCFBJD16|float|BJD for order 16|days
CCFBJD17|float|BJD for order 17|days
CCFBJD18|float|BJD for order 18|days
CCFBJD19|float|BJD for order 19|days
CCFBJD20|float|BJD for order 20|days
CCFBJD21|float|BJD for order 21|days
CCFBJD22|float|BJD for order 22|days
CCFBJD23|float|BJD for order 23|days
CCFBJD24|float|BJD for order 24|days
CCFBJD25|float|BJD for order 25|days
CCFBJD26|float|BJD for order 26|days
CCFBJD27|float|BJD for order 27|days
CCFBJD28|float|BJD for order 28|days
CCFBJD29|float|BJD for order 29|days
CCFBJD30|float|BJD for order 30|days
CCFBJD31|float|BJD for order 31|days
CCFBJD32|float|BJD for order 32|days
CCFBJD33|float|BJD for order 33|days
CCFBJD34|float|BJD for order 34|days
CCFBJD35|float|BJD for order 35|days
CCFBJD36|float|BJD for order 36|days
CCFBJD37|float|BJD for order 37|days
CCFBJD38|float|BJD for order 38|days
CCFBJD39|float|BJD for order 39|days
CCFBJD40|float|BJD for order 40|days
CCFBJD41|float|BJD for order 41|days
CCFBJD42|float|BJD for order 42|days
CCFBJD43|float|BJD for order 43|days
CCFBJD44|float|BJD for order 44|days
CCFBJD45|float|BJD for order 45|days
CCFBJD46|float|BJD for order 46|days
CCFBJD47|float|BJD for order 47|days
CCFBJD48|float|BJD for order 48|days
CCFBJD49|float|BJD for order 49|days
CCFBJD50|float|BJD for order 50|days
CCFBJD51|float|BJD for order 51|days
CCFBJD52|float|BJD for order 52|days
CCFBJD53|float|BJD for order 53|days
CCFBJD54|float|BJD for order 54|days
CCFBJD55|float|BJD for order 55|days
CCFBJD56|float|BJD for order 56|days
CCFBJD57|float|BJD for order 57|days
CCFBJD58|float|BJD for order 58|days
CCFBJD59|float|BJD for order 59|days
CCFBJD60|float|BJD for order 60|days
CCFBJD61|float|BJD for order 61|days
CCFBJD62|float|BJD for order 62|days
CCFBJD63|float|BJD for order 63|days
CCFBJD64|float|BJD for order 64|days
CCFBJD65|float|BJD for order 65|days
CCFBJD66|float|BJD for order 66|days
