keyword|datatype|description|unit
RVC00|float|RV for CAL order 00|km/s
RVC01|float|RV for CAL order 01|km/s
RVC02|float|RV for CAL order 02|km/s
RVC03|float|RV for CAL order 03|km/s
RVC04|float|RV for CAL order 04|km/s
RVC05|float|RV for CAL order 05|km/s
RVC06|float|RV for CAL order 06|km/s
RVC07|float|RV for CAL order 07|km/s
RVC08|float|RV for CAL order 08|km/s
RVC09|float|RV for CAL order 09|km/s
RVC10|float|RV for CAL order 10|km/s
RVC11|float|RV for CAL order 11|km/s
RVC12|float|RV for CAL order 12|km/s
RVC13|float|RV for CAL order 13|km/s
RVC14|float|RV for CAL order 14|km/s
RVC15|float|RV for CAL order 15|km/s
RVC16|float|RV for CAL order 16|km/s
RVC17|float|RV for CAL order 17|km/s
RVC18|float|RV for CAL order 18|km/s
RVC19|float|RV for CAL order 19|km/s
RVC20|float|RV for CAL order 20|km/s
RVC21|float|RV for CAL order 21|km/s
RVC22|float|RV for CAL order 22|km/s
RVC23|float|RV for CAL order 23|km/s
RVC24|float|RV for CAL order 24|km/s
RVC25|float|RV for CAL order 25|km/s
RVC26|float|RV for CAL order 26|km/s
RVC27|float|RV for CAL order 27|km/s
RVC28|float|RV for CAL order 28|km/s
RVC29|float|RV for CAL order 29|km/s
RVC30|float|RV for CAL order 30|km/s
RVC31|float|RV for CAL order 31|km/s
RVC32|float|RV for CAL order 32|km/s
RVC33|float|RV for CAL order 33|km/s
RVC34|float|RV for CAL order 34|km/s
RVC35|float|RV for CAL order 35|km/s
RVC36|float|RV for CAL order 36|km/s
RVC37|float|RV for CAL order 37|km/s
RVC38|float|RV for CAL order 38|km/s
RVC39|float|RV for CAL order 39|km/s
RVC40|float|RV for CAL order 40|km/s
RVC41|float|RV for CAL order 41|km/s
RVC42|float|RV for CAL order 42|km/s
RVC43|float|RV for CAL order 43|km/s
RVC44|float|RV for CAL order 44|km/s
RVC45|float|RV for CAL order 45|km/s
RVC46|float|RV for CAL order 46|km/s
RVC47|float|RV for CAL order 47|km/s
RVC48|float|RV for CAL order 48|km/s
RVC49|float|RV for CAL order 49|km/s
RVC50|float|RV for CAL order 50|km/s
RVC51|float|RV for CAL order 51|km/s
RVC52|float|RV for CAL order 52|km/s
RVC53|float|RV for CAL order 53|km/s
RVC54|float|RV for CAL order 54|km/s
RVC55|float|RV for CAL order 55|km/s
RVC56|float|RV for CAL order 56|km/s
RVC57|float|RV for CAL order 57|km/s
RVC58|float|RV for CAL order 58|km/s
RVC59|float|RV for CAL order 59|km/s
RVC60|float|RV for CAL order 60|km/s
RVC61|float|RV for CAL order 61|km/s
RVC62|float|RV for CAL order 62|km/s
RVC63|float|RV for CAL order 63|km/s
RVC64|float|RV for CAL order 64|km/s
RVC65|float|RV for CAL order 65|km/s
RVC66|float|RV for CAL order 66|km/s
