keyword|datatype|description|unit
CCFW00|float|CCF weight for order 00|None
CCFW01|float|CCF weight for order 01|None
CCFW02|float|CCF weight for order 02|None
CCFW03|float|CCF weight for order 03|None
CCFW04|float|CCF weight for order 04|None
CCFW05|float|CCF weight for order 05|None
CCFW06|float|CCF weight for order 06|None
CCFW07|float|CCF weight for order 07|None
CCFW08|float|CCF weight for order 08|None
CCFW09|float|CCF weight for order 09|None
CCFW10|float|CCF weight for order 10|None
CCFW11|float|CCF weight for order 11|None
CCFW12|float|CCF weight for order 12|None
CCFW13|float|CCF weight for order 13|None
CCFW14|float|CCF weight for order 14|None
CCFW15|float|CCF weight for order 15|None
CCFW16|float|CCF weight for order 16|None
CCFW17|float|CCF weight for order 17|None
CCFW18|float|CCF weight for order 18|None
CCFW19|float|CCF weight for order 19|None
CCFW20|float|CCF weight for order 20|None
CCFW21|float|CCF weight for order 21|None
CCFW22|float|CCF weight for order 22|None
CCFW23|float|CCF weight for order 23|None
CCFW24|float|CCF weight for order 24|None
CCFW25|float|CCF weight for order 25|None
CCFW26|float|CCF weight for order 26|None
CCFW27|float|CCF weight for order 27|None
CCFW28|float|CCF weight for order 28|None
CCFW29|float|CCF weight for order 29|None
CCFW30|float|CCF weight for order 30|None
CCFW31|float|CCF weight for order 31|None
CCFW32|float|CCF weight for order 32|None
CCFW33|float|CCF weight for order 33|None
CCFW34|float|CCF weight for order 34|None
CCFW35|float|CCF weight for order 35|None
CCFW36|float|CCF weight for order 36|None
CCFW37|float|CCF weight for order 37|None
CCFW38|float|CCF weight for order 38|None
CCFW39|float|CCF weight for order 39|None
CCFW40|float|CCF weight for order 40|None
CCFW41|float|CCF weight for order 41|None
CCFW42|float|CCF weight for order 42|None
CCFW43|float|CCF weight for order 43|None
CCFW44|float|CCF weight for order 44|None
CCFW45|float|CCF weight for order 45|None
CCFW46|float|CCF weight for order 46|None
CCFW47|float|CCF weight for order 47|None
CCFW48|float|CCF weight for order 48|None
CCFW49|float|CCF weight for order 49|None
CCFW50|float|CCF weight for order 50|None
CCFW51|float|CCF weight for order 51|None
CCFW52|float|CCF weight for order 52|None
CCFW53|float|CCF weight for order 53|None
CCFW54|float|CCF weight for order 54|None
CCFW55|float|CCF weight for order 55|None
CCFW56|float|CCF weight for order 56|None
CCFW57|float|CCF weight for order 57|None
CCFW58|float|CCF weight for order 58|None
CCFW59|float|CCF weight for order 59|None
CCFW60|float|CCF weight for order 60|None
CCFW61|float|CCF weight for order 61|None
CCFW62|float|CCF weight for order 62|None
CCFW63|float|CCF weight for order 63|None
CCFW64|float|CCF weight for order 64|None
CCFW65|float|CCF weight for order 65|None
CCFW66|float|CCF weight for order 66|None
