keyword|datatype|description|unit
RV100|float|RV for SCI1 order 00|km/s
RV101|float|RV for SCI1 order 01|km/s
RV102|float|RV for SCI1 order 02|km/s
RV103|float|RV for SCI1 order 03|km/s
RV104|float|RV for SCI1 order 04|km/s
RV105|float|RV for SCI1 order 05|km/s
RV106|float|RV for SCI1 order 06|km/s
RV107|float|RV for SCI1 order 07|km/s
RV108|float|RV for SCI1 order 08|km/s
RV109|float|RV for SCI1 order 09|km/s
RV110|float|RV for SCI1 order 10|km/s
RV111|float|RV for SCI1 order 11|km/s
RV112|float|RV for SCI1 order 12|km/s
RV113|float|RV for SCI1 order 13|km/s
RV114|float|RV for SCI1 order 14|km/s
RV115|float|RV for SCI1 order 15|km/s
RV116|float|RV for SCI1 order 16|km/s
RV117|float|RV for SCI1 order 17|km/s
RV118|float|RV for SCI1 order 18|km/s
RV119|float|RV for SCI1 order 19|km/s
RV120|float|RV for SCI1 order 20|km/s
RV121|float|RV for SCI1 order 21|km/s
RV122|float|RV for SCI1 order 22|km/s
RV123|float|RV for SCI1 order 23|km/s
RV124|float|RV for SCI1 order 24|km/s
RV125|float|RV for SCI1 order 25|km/s
RV126|float|RV for SCI1 order 26|km/s
RV127|float|RV for SCI1 order 27|km/s
RV128|float|RV for SCI1 order 28|km/s
RV129|float|RV for SCI1 order 29|km/s
RV130|float|RV for SCI1 order 30|km/s
RV131|float|RV for SCI1 order 31|km/s
RV132|float|RV for SCI1 order 32|km/s
RV133|float|RV for SCI1 order 33|km/s
RV134|float|RV for SCI1 order 34|km/s
RV135|float|RV for SCI1 order 35|km/s
RV136|float|RV for SCI1 order 36|km/s
RV137|float|RV for SCI1 order 37|km/s
RV138|float|RV for SCI1 order 38|km/s
RV139|float|RV for SCI1 order 39|km/s
RV140|float|RV for SCI1 order 40|km/s
RV141|float|RV for SCI1 order 41|km/s
RV142|float|RV for SCI1 order 42|km/s
RV143|float|RV for SCI1 order 43|km/s
RV144|float|RV for SCI1 order 44|km/s
RV145|float|RV for SCI1 order 45|km/s
RV146|float|RV for SCI1 order 46|km/s
RV147|float|RV for SCI1 order 47|km/s
RV148|float|RV for SCI1 order 48|km/s
RV149|float|RV for SCI1 order 49|km/s
RV150|float|RV for SCI1 order 50|km/s
RV151|float|RV for SCI1 order 51|km/s
RV152|float|RV for SCI1 order 52|km/s
RV153|float|RV for SCI1 order 53|km/s
RV154|float|RV for SCI1 order 54|km/s
RV155|float|RV for SCI1 order 55|km/s
RV156|float|RV for SCI1 order 56|km/s
RV157|float|RV for SCI1 order 57|km/s
RV158|float|RV for SCI1 order 58|km/s
RV159|float|RV for SCI1 order 59|km/s
RV160|float|RV for SCI1 order 60|km/s
RV161|float|RV for SCI1 order 61|km/s
RV162|float|RV for SCI1 order 62|km/s
RV163|float|RV for SCI1 order 63|km/s
RV164|float|RV for SCI1 order 64|km/s
RV165|float|RV for SCI1 order 65|km/s
RV166|float|RV for SCI1 order 66|km/s
RV200|float|RV for SCI2 order 00|km/s
RV201|float|RV for SCI2 order 01|km/s
RV202|float|RV for SCI2 order 02|km/s
RV203|float|RV for SCI2 order 03|km/s
RV204|float|RV for SCI2 order 04|km/s
RV205|float|RV for SCI2 order 05|km/s
RV206|float|RV for SCI2 order 06|km/s
RV207|float|RV for SCI2 order 07|km/s
RV208|float|RV for SCI2 order 08|km/s
RV209|float|RV for SCI2 order 09|km/s
RV210|float|RV for SCI2 order 10|km/s
RV211|float|RV for SCI2 order 11|km/s
RV212|float|RV for SCI2 order 12|km/s
RV213|float|RV for SCI2 order 13|km/s
RV214|float|RV for SCI2 order 14|km/s
RV215|float|RV for SCI2 order 15|km/s
RV216|float|RV for SCI2 order 16|km/s
RV217|float|RV for SCI2 order 17|km/s
RV218|float|RV for SCI2 order 18|km/s
RV219|float|RV for SCI2 order 19|km/s
RV220|float|RV for SCI2 order 20|km/s
RV221|float|RV for SCI2 order 21|km/s
RV222|float|RV for SCI2 order 22|km/s
RV223|float|RV for SCI2 order 23|km/s
RV224|float|RV for SCI2 order 24|km/s
RV225|float|RV for SCI2 order 25|km/s
RV226|float|RV for SCI2 order 26|km/s
RV227|float|RV for SCI2 order 27|km/s
RV228|float|RV for SCI2 order 28|km/s
RV229|float|RV for SCI2 order 29|km/s
RV230|float|RV for SCI2 order 30|km/s
RV231|float|RV for SCI2 order 31|km/s
RV232|float|RV for SCI2 order 32|km/s
RV233|float|RV for SCI2 order 33|km/s
RV234|float|RV for SCI2 order 34|km/s
RV235|float|RV for SCI2 order 35|km/s
RV236|float|RV for SCI2 order 36|km/s
RV237|float|RV for SCI2 order 37|km/s
RV238|float|RV for SCI2 order 38|km/s
RV239|float|RV for SCI2 order 39|km/s
RV240|float|RV for SCI2 order 40|km/s
RV241|float|RV for SCI2 order 41|km/s
RV242|float|RV for SCI2 order 42|km/s
RV243|float|RV for SCI2 order 43|km/s
RV244|float|RV for SCI2 order 44|km/s
RV245|float|RV for SCI2 order 45|km/s
RV246|float|RV for SCI2 order 46|km/s
RV247|float|RV for SCI2 order 47|km/s
RV248|float|RV for SCI2 order 48|km/s
RV249|float|RV for SCI2 order 49|km/s
RV250|float|RV for SCI2 order 50|km/s
RV251|float|RV for SCI2 order 51|km/s
RV252|float|RV for SCI2 order 52|km/s
RV253|float|RV for SCI2 order 53|km/s
RV254|float|RV for SCI2 order 54|km/s
RV255|float|RV for SCI2 order 55|km/s
RV256|float|RV for SCI2 order 56|km/s
RV257|float|RV for SCI2 order 57|km/s
RV258|float|RV for SCI2 order 58|km/s
RV259|float|RV for SCI2 order 59|km/s
RV260|float|RV for SCI2 order 60|km/s
RV261|float|RV for SCI2 order 61|km/s
RV262|float|RV for SCI2 order 62|km/s
RV263|float|RV for SCI2 order 63|km/s
RV264|float|RV for SCI2 order 64|km/s
RV265|float|RV for SCI2 order 65|km/s
RV266|float|RV for SCI2 order 66|km/s
RV300|float|RV for SCI3 order 00|km/s
RV301|float|RV for SCI3 order 01|km/s
RV302|float|RV for SCI3 order 02|km/s
RV303|float|RV for SCI3 order 03|km/s
RV304|float|RV for SCI3 order 04|km/s
RV305|float|RV for SCI3 order 05|km/s
RV306|float|RV for SCI3 order 06|km/s
RV307|float|RV for SCI3 order 07|km/s
RV308|float|RV for SCI3 order 08|km/s
RV309|float|RV for SCI3 order 09|km/s
RV310|float|RV for SCI3 order 10|km/s
RV311|float|RV for SCI3 order 11|km/s
RV312|float|RV for SCI3 order 12|km/s
RV313|float|RV for SCI3 order 13|km/s
RV314|float|RV for SCI3 order 14|km/s
RV315|float|RV for SCI3 order 15|km/s
RV316|float|RV for SCI3 order 16|km/s
RV317|float|RV for SCI3 order 17|km/s
RV318|float|RV for SCI3 order 18|km/s
RV319|float|RV for SCI3 order 19|km/s
RV320|float|RV for SCI3 order 20|km/s
RV321|float|RV for SCI3 order 21|km/s
RV322|float|RV for SCI3 order 22|km/s
RV323|float|RV for SCI3 order 23|km/s
RV324|float|RV for SCI3 order 24|km/s
RV325|float|RV for SCI3 order 25|km/s
RV326|float|RV for SCI3 order 26|km/s
RV327|float|RV for SCI3 order 27|km/s
RV328|float|RV for SCI3 order 28|km/s
RV329|float|RV for SCI3 order 29|km/s
RV330|float|RV for SCI3 order 30|km/s
RV331|float|RV for SCI3 order 31|km/s
RV332|float|RV for SCI3 order 32|km/s
RV333|float|RV for SCI3 order 33|km/s
