keyword|datatype|description|unit
RV300|float|RV for SCI3 order 00|km/s
RV301|float|RV for SCI3 order 01|km/s
RV302|float|RV for SCI3 order 02|km/s
RV303|float|RV for SCI3 order 03|km/s
RV304|float|RV for SCI3 order 04|km/s
RV305|float|RV for SCI3 order 05|km/s
RV306|float|RV for SCI3 order 06|km/s
RV307|float|RV for SCI3 order 07|km/s
RV308|float|RV for SCI3 order 08|km/s
RV309|float|RV for SCI3 order 09|km/s
RV310|float|RV for SCI3 order 10|km/s
RV311|float|RV for SCI3 order 11|km/s
RV312|float|RV for SCI3 order 12|km/s
RV313|float|RV for SCI3 order 13|km/s
RV314|float|RV for SCI3 order 14|km/s
RV315|float|RV for SCI3 order 15|km/s
RV316|float|RV for SCI3 order 16|km/s
RV317|float|RV for SCI3 order 17|km/s
RV318|float|RV for SCI3 order 18|km/s
RV319|float|RV for SCI3 order 19|km/s
RV320|float|RV for SCI3 order 20|km/s
RV321|float|RV for SCI3 order 21|km/s
RV322|float|RV for SCI3 order 22|km/s
RV323|float|RV for SCI3 order 23|km/s
RV324|float|RV for SCI3 order 24|km/s
RV325|float|RV for SCI3 order 25|km/s
RV326|float|RV for SCI3 order 26|km/s
RV327|float|RV for SCI3 order 27|km/s
RV328|float|RV for SCI3 order 28|km/s
RV329|float|RV for SCI3 order 29|km/s
RV330|float|RV for SCI3 order 30|km/s
RV331|float|RV for SCI3 order 31|km/s
RV332|float|RV for SCI3 order 32|km/s
RV333|float|RV for SCI3 order 33|km/s
RV334|float|RV for SCI3 order 34|km/s
RV335|float|RV for SCI3 order 35|km/s
RV336|float|RV for SCI3 order 36|km/s
RV337|float|RV for SCI3 order 37|km/s
RV338|float|RV for SCI3 order 38|km/s
RV339|float|RV for SCI3 order 39|km/s
RV340|float|RV for SCI3 order 40|km/s
RV341|float|RV for SCI3 order 41|km/s
RV342|float|RV for SCI3 order 42|km/s
RV343|float|RV for SCI3 order 43|km/s
RV344|float|RV for SCI3 order 44|km/s
RV345|float|RV for SCI3 order 45|km/s
RV346|float|RV for SCI3 order 46|km/s
RV347|float|RV for SCI3 order 47|km/s
RV348|float|RV for SCI3 order 48|km/s
RV349|float|RV for SCI3 order 49|km/s
RV350|float|RV for SCI3 order 50|km/s
RV351|float|RV for SCI3 order 51|km/s
RV352|float|RV for SCI3 order 52|km/s
RV353|float|RV for SCI3 order 53|km/s
RV354|float|RV for SCI3 order 54|km/s
RV355|float|RV for SCI3 order 55|km/s
RV356|float|RV for SCI3 order 56|km/s
RV357|float|RV for SCI3 order 57|km/s
RV358|float|RV for SCI3 order 58|km/s
RV359|float|RV for SCI3 order 59|km/s
RV360|float|RV for SCI3 order 60|km/s
RV361|float|RV for SCI3 order 61|km/s
RV362|float|RV for SCI3 order 62|km/s
RV363|float|RV for SCI3 order 63|km/s
RV364|float|RV for SCI3 order 64|km/s
RV365|float|RV for SCI3 order 65|km/s
RV366|float|RV for SCI3 order 66|km/s
